Course Code,Prereq_1,Prereq_2,Prereq_3
AAAD 50,,,
AAAD 51,,,
AAAD 53,,,
AAAD 54,,,
AAAD 55,,,
AAAD 58,,,
AAAD 89,,,
AAAD 101,,,
AAAD 102,,,
AAAD 130,,,
AAAD 159,,,
AAAD 200,,,
AAAD 201,,,
AAAD 202,,,
AAAD 210,,,
AAAD 211,,,
AAAD 212,,,
AAAD 214,,,
AAAD 220,,,
AAAD 231,,,
AAAD 232,,,
AAAD 237,,,
AAAD 238,,,
AAAD 239,,,
AAAD 240,,,
AAAD 250,,,
AAAD 252,,,
AAAD 254,,,
AAAD 257,,,
AAAD 258,,,
AAAD 259,,,
AAAD 260,,,
AAAD 261,,,
AAAD 278,,,
AAAD 282,,,
AAAD 284,,,
AAAD 286,,,
AAAD 287,,,
AAAD 288,,,
AAAD 290,,,
AAAD 293,,,
AAAD 298,,,
AAAD 300,,,
AAAD 301,,,
AAAD 302,,,
AAAD 303,,,
AAAD 307,,,
AAAD 312,,,
AAAD 315,,,
AAAD 316,,,
AAAD 318,,,
AAAD 319,,,
AAAD 320,,,
AAAD 329,,,
AAAD 330,,,
AAAD 332,,,
AAAD 333,,,
AAAD 334,,,
AAAD 335,,,
AAAD 340,,,
AAAD 341,,,
AAAD 344,,,
AAAD 350,,,
AAAD 354,,,
AAAD 356,,,
AAAD 385,,,
AAAD 386,AAAD 101,AAAD 130,
AAAD 387,,,
AAAD 388,,,
AAAD 389,,,
AAAD 391,,,
AAAD 392,,,
AAAD 395,,,
AAAD 396,,,
AAAD 400,,,
AAAD 401,ECON 101,,
AAAD 402,,,
AAAD 403,,,
AAAD 404,,,
AAAD 405,AAAD 101,ARTH 152,ARTH 155
AAAD 410,,,
AAAD 414,,,
AAAD 419,,,
AAAD 421,,,
AAAD 430,,,
AAAD 444,,,
AAAD 449,,,
AAAD 451,,,
AAAD 460,,,
AAAD 461,,,
AAAD 466,,,
AAAD 480,,,
AAAD 485,,,
AAAD 486,,,
AAAD 487,AAAD 101,AAAD 130,
AAAD 488,,,
AAAD 490,,,
AAAD 491,,,
AAAD 492,,,
AAAD 691H,,,
AAAD 692H,,,
