Course Code,Prereq_1,Prereq_2,Prereq_3
AMST 51,,,
AMST 53,,,
AMST 54,,,
AMST 55,,,
AMST 59,,,
AMST 60,,,
AMST 61,,,
AMST 62,,,
AMST 65,,,
AMST 70,,,
AMST 75,,,
AMST 89,,,
AMST 101,,,
AMST 102,,,
AMST 110,,,
AMST 175,,,
AMST 201,,,
AMST 202,,,
AMST 203,,,
AMST 210,,,
AMST 211,,,
AMST 220,,,
AMST 225,,,
AMST 225L,AMST 225,,
AMST 231,,,
AMST 233,,,
AMST 234,,,
AMST 235,,,
AMST 246,,,
AMST 248,,,
AMST 252,,,
AMST 253,,,
AMST 255,,,
AMST 256,,,
AMST 257,,,
AMST 258,,,
AMST 259,,,
AMST 265,,,
AMST 268,,,
AMST 269,,,
AMST 275,,,
AMST 276,,,
AMST 277,,,
AMST 278,,,
AMST 283,,,
AMST 284,,,
AMST 287,,,
AMST 290,,,
AMST 291,,,
AMST 292,,,
AMST 294,,,
AMST 317,,,
AMST 320,,,
AMST 325,,,
AMST 330,,,
AMST 336,,,
AMST 337,,,
AMST 338,,,
AMST 339,,,
AMST 340,,,
AMST 341,,,
AMST 345,,,
AMST 351,,,
AMST 352,,,
AMST 353,,,
AMST 354,,,
AMST 365,,,
AMST 371,,,
AMST 374,,,
AMST 375,,,
AMST 390,,,
AMST 392,,,
AMST 396,,,
AMST 398,,,
AMST 410,,,
AMST 439,,,
AMST 440,,,
AMST 460,,,
AMST 475,,,
AMST 483,,,
AMST 485,,,
AMST 486,,,
AMST 487,,,
AMST 488,,,
AMST 489,,,
AMST 493,,,
AMST 498,,,
AMST 510,,,
AMST 511,,,
AMST 512,,,
AMST 641,,,
AMST 671,,,
AMST 685,,,
AMST 691H,,,
AMST 692H,,,
AMST 700,,,
AMST 701,,,
AMST 702,,,
AMST 714,,,
AMST 715,,,
AMST 720,,,
AMST 775,,,
AMST 795,,,
AMST 820,,,
AMST 840,,,
AMST 850,,,
AMST 878,,,
AMST 880,,,
AMST 890,,,
AMST 895,,,
AMST 900,,,
AMST 901,,,
AMST 902,,,
AMST 903,AMST 700,AMST 701,AMST 901
AMST 948,,,
AMST 992,,,
AMST 993,,,
AMST 994,,,
