Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5
ANTH 50,,,,,
ANTH 51,,,,,
ANTH 52,,,,,
ANTH 53,,,,,
ANTH 54,,,,,
ANTH 56,,,,,
ANTH 57,,,,,
ANTH 59,,,,,
ANTH 60,,,,,
ANTH 61,,,,,
ANTH 62,,,,,
ANTH 63,,,,,
ANTH 64,,,,,
ANTH 65,,,,,
ANTH 66H,,,,,
ANTH 67,,,,,
ANTH 68,,,,,
ANTH 70,,,,,
ANTH 77,,,,,
ANTH 89,,,,,
ANTH 92,,,,,
ANTH 93,ANTH 92,,,,
ANTH 101,,,,,
ANTH 102,,,,,
ANTH 104,,,,,
ANTH 120,,,,,
ANTH 121,,,,,
ANTH 123,,,,,
ANTH 125,,,,,
ANTH 130,,,,,
ANTH 138,,,,,
ANTH 139,,,,,
ANTH 142,,,,,
ANTH 143,,,,,
ANTH 144,,,,,
ANTH 145,,,,,
ANTH 147,,,,,
ANTH 148,,,,,
ANTH 149,,,,,
ANTH 151,,,,,
ANTH 175,,,,,
ANTH 190,,,,,
ANTH 191,,,,,
ANTH 194,,,,,
ANTH 195,,,,,
ANTH 196,,,,,
ANTH 198H,,,,,
ANTH 202,,,,,
ANTH 203,,,,,
ANTH 206,,,,,
ANTH 210,,,,,
ANTH 214,,,,,
ANTH 217,,,,,
ANTH 220,,,,,
ANTH 222,,,,,
ANTH 226,,,,,
ANTH 231,,,,,
ANTH 232,,,,,
ANTH 233,,,,,
ANTH 234,,,,,
ANTH 235,,,,,
ANTH 237,,,,,
ANTH 238,,,,,
ANTH 240,,,,,
ANTH 248,,,,,
ANTH 250,,,,,
ANTH 252,,,,,
ANTH 259,,,,,
ANTH 270,,,,,
ANTH 272,,,,,
ANTH 277,,,,,
ANTH 278,,,,,
ANTH 280,,,,,
ANTH 284,,,,,
ANTH 290,,,,,
ANTH 291,,,,,
ANTH 294,,,,,
ANTH 295,,,,,
ANTH 296,,,,,
ANTH 297,,,,,
ANTH 298,,,,,
ANTH 300,,,,,
ANTH 302,,,,,
ANTH 303,,,,,
ANTH 306,,,,,
ANTH 312,,,,,
ANTH 315,,,,,
ANTH 318,,,,,
ANTH 319,,,,,
ANTH 320,,,,,
ANTH 325,,,,,
ANTH 326,,,,,
ANTH 328,,,,,
ANTH 330,,,,,
ANTH 331,,,,,
ANTH 333,,,,,
ANTH 334,,,,,
