Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5
APPL 89,,,,,
APPL 101,,,,,
APPL 110,,,,,
APPL 112,,,,,
APPL 113,,,,,
APPL 114,,,,,
APPL 115,APPL 114,APPL 112,,,
APPL 116,APPL 112,,,,
APPL 121,,,,,
APPL 190,,,,,
APPL 215,,,,,
APPL 240,119 115,119  119,,,
APPL 260,CHEM 102,PHYS 118,,,
APPL 285,APPL 110,PHYS 114,PHYS 118,,
APPL 290,,,,,
APPL 295,,,,,
APPL 296,,,,,
APPL 350,,,,,
APPL 385,MATH 233,,,,
APPL 390,,,,,
APPL 405,,,,,
APPL 412,APPL 110,,,,
APPL 420,CHEM 261,CHEM 261H,CHEM 262,CHEM 262H,CHEM 262L
APPL 421,CHEM 251,CHEM 262,CHEM 262H,,
APPL 422,CHEM 420,CHEM 481,,,
APPL 423,CHEM 422,,,,
APPL 430,MATH 383,,,,
APPL 435,119 119,,,,
APPL 462,CHEM 102,PHYS 118,,,
APPL 463,BMME 209,APPL 260,CHEM 102,PHYS 115,PHYS 119
APPL 465,,,,,
APPL 470,CHEM 482,PHYS 128,PHYS 441,,
APPL 472,CHEM 482,CHEM 119,,,
APPL 473,CHEM 470,,,,
APPL 490,,,,,
APPL 491L,APPL 470,PHYS 351,,,
APPL 492L,APPL 491L,PHYS 491L,,,
APPL 493,,,,,
APPL 495,,,,,
APPL 496,,,,,
APPL 520L,CHEM 420,CHEM 421,CHEM 425,,
APPL 573,PHYS 421,,,,
APPL 590,,,,,
APPL 690,,,,,
APPL 710,,,,,
APPL 760L,,,,,
