Course Code,Prereq_1,Prereq_2,Prereq_3
ARTH 51,,,
ARTH 54,,,
ARTH 55,,,
ARTH 59,,,
ARTH 61,,,
ARTH 64,,,
ARTH 66,,,
ARTH 85,,,
ARTH 89,,,
ARTH 111,,,
ARTH 112,,,
ARTH 113,,,
ARTH 150,,,
ARTH 151,,,
ARTH 152,,,
ARTH 155,,,
ARTH 156,,,
ARTH 159,,,
ARTH 160,,,
ARTH 161,,,
ARTH 200,,,
ARTH 201,,,
ARTH 210,,,
ARTH 241,,,
ARTH 242,,,
ARTH 244,,,
ARTH 247,,,
ARTH 250,,,
ARTH 253,,,
ARTH 254,,,
ARTH 255,,,
ARTH 264,,,
ARTH 265,,,
ARTH 267,,,
ARTH 268,,,
ARTH 269,,,
ARTH 272,,,
ARTH 274,,,
ARTH 275,,,
ARTH 277,,,
ARTH 279,,,
ARTH 280,,,
ARTH 281,,,
ARTH 282,,,
ARTH 283,,,
ARTH 284,,,
ARTH 285,,,
ARTH 287,,,
ARTH 290,,,
ARTH 291,,,
ARTH 293,,,
ARTH 294,,,
ARTH 297,,,
ARTH 299,,,
ARTH 300,,,
ARTH 302,,,
ARTH 303,,,
ARTH 304,,,
ARTH 310,,,
ARTH 330,,,
ARTH 353,,,
ARTH 360,,,
ARTH 361,,,
ARTH 365,,,
ARTH 368,,,
ARTH 369,,,
ARTH 370,,,
ARTH 380,,,
ARTH 383,,,
ARTH 385,,,
ARTH 387,,,
ARTH 390,,,
ARTH 391,,,
ARTH 396,,,
ARTH 400,,,
ARTH 401,,,
ARTH 445,,,
ARTH 446,,,
ARTH 450,,,
ARTH 451,,,
ARTH 452,,,
ARTH 453,,,
ARTH 454,,,
ARTH 455,ARTH 151,,
ARTH 457,,,
ARTH 461,,,
ARTH 464,CLAR 244,,
ARTH 465,CLAR 247,,
ARTH 466,,,
ARTH 469,,,
ARTH 471,,,
ARTH 472,,,
ARTH 473,,,
ARTH 474,CLAR 247,,
ARTH 476,CLAR 247,,
ARTH 482,,,
ARTH 484,,,
ARTH 485,,,
ARTH 488,AAAD 101,ARTH 152,ARTH 155
ARTH 490,,,
ARTH 514,,,
ARTH 551,,,
ARTH 553,,,
ARTH 555,,,
ARTH 557,,,
ARTH 583,,,
ARTH 586,,,
ARTH 588,,,
ARTH 592,,,
ARTH 595,,,
ARTH 691H,,,
ARTH 692H,,,
ARTH 750,,,
ARTH 751,,,
ARTH 755,ARTH 551,ARTH 592,
ARTH 763,,,
ARTH 777,,,
ARTH 794,,,
ARTH 798,,,
ARTH 850,,,
ARTH 851,,,
ARTH 852,,,
ARTH 910,,,
ARTH 950,,,
ARTH 952,,,
ARTH 957,,,
ARTH 958,,,
ARTH 959,,,
ARTH 961,,,
ARTH 968,,,
ARTH 971,,,
ARTH 972,,,
ARTH 980,,,
ARTH 981,,,
ARTH 982,,,
ARTH 983,,,
ARTH 984,,,
ARTH 985,,,
ARTH 987,,,
ARTH 991,,,
ARTH 993,,,
ARTH 994,,,
