Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4
ARTS 50,,,,
ARTS 59,,,,
ARTS 75,,,,
ARTS 78,,,,
ARTS 82,,,,
ARTS 89,,,,
ARTS 102,,,,
ARTS 103,,,,
ARTS 104,,,,
ARTS 105,,,,
ARTS 106,,,,
ARTS 115,,,,
ARTS 116,,,,
ARTS 132,,,,
ARTS 202,,,,
ARTS 205,ARTS 105,,,
ARTS 206,ARTS 106,,,
ARTS 208,,,,
ARTS 209,ARTS 104,,,
ARTS 213,,,,
ARTS 214,ARTS 104,,,
ARTS 215,ARTS 115,,,
ARTS 221,,,,
ARTS 222,,,,
ARTS 233,,,,
ARTS 238,ARTS 102,,,
ARTS 243,,,,
ARTS 274,,,,
ARTS 290,,,,
ARTS 302,ARTS 202,,,
ARTS 309,ARTS 209,,,
ARTS 313,ARTS 213,,,
ARTS 322,ARTS 202,,,
ARTS 324,ARTS 104,,,
ARTS 343,,,,
ARTS 352,ARTS 202,,,
ARTS 353,,,,
ARTS 354,ARTS 104,,,
ARTS 355,ARTS 105,,,
ARTS 358,ARTS 208,,,
ARTS 363,,,,
ARTS 364,,,,
ARTS 368,ARTS 208,,,
ARTS 373,,,,
ARTS 383,,,,
ARTS 390,,,,
ARTS 402,ARTS 302,ARTS 322,ARTS 352,
ARTS 409,BIOL 409L,,,
ARTS 410,ARTS 302,,,
ARTS 413,ARTS 313,,,
ARTS 415,,,,
ARTS 416,ARTS 106,ARTS 206,,
ARTS 417,,,,
ARTS 418,ARTS 208,ARTS 238,,
ARTS 428,ARTS 102,,,
ARTS 458,ARTS 105,ARTS 208,,
ARTS 490,,,,
ARTS 493,,,,
ARTS 515,,,,
ARTS 596,,,,
ARTS 657,ARTS 105,ARTS 106,ARTS 209,COMM 130
ARTS 690,,,,
ARTS 691H,,,,
ARTS 692H,ARTS 691H,,,
ARTS 700,,,,
ARTS 701,,,,
ARTS 710,,,,
ARTS 713,,,,
ARTS 718,,,,
ARTS 720,,,,
ARTS 798,,,,
ARTS 992,,,,
