Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6
ASIA 52,,,,,,
ASIA 55,,,,,,
ASIA 56,,,,,,
ASIA 57,,,,,,
ASIA 59,,,,,,
ASIA 60,,,,,,
ASIA 61,,,,,,
ASIA 63,,,,,,
ASIA 65,,,,,,
ASIA 69,,,,,,
ASIA 71,,,,,,
ASIA 72,,,,,,
ASIA 73,,,,,,
ASIA 74,,,,,,
ASIA 75,,,,,,
ASIA 89,,,,,,
ASIA 124,,,,,,
ASIA 126,,,,,,
ASIA 127,,,,,,
ASIA 131,,,,,,
ASIA 132,,,,,,
ASIA 133,,,,,,
ASIA 134,,,,,,
ASIA 135,,,,,,
ASIA 136,,,,,,
ASIA 138,,,,,,
ASIA 139,,,,,,
ASIA 150,,,,,,
ASIA 151,,,,,,
ASIA 152,,,,,,
ASIA 163,,,,,,
ASIA 164,,,,,,
ASIA 167,,,,,,
ASIA 180,,,,,,
ASIA 181,,,,,,
ASIA 183,,,,,,
ASIA 211,,,,,,
ASIA 228,,,,,,
ASIA 229,,,,,,
ASIA 231,,,,,,
ASIA 233,,,,,,
ASIA 235,,,,,,
ASIA 240,,,,,,
ASIA 252,,,,,,
ASIA 255,,,,,,
ASIA 256,,,,,,
ASIA 258,,,,,,
ASIA 260,,,,,,
ASIA 261,,,,,,
ASIA 262,,,,,,
ASIA 265,,,,,,
ASIA 267,,,,,,
ASIA 272,,,,,,
ASIA 276,,,,,,
ASIA 277,,,,,,
ASIA 279,,,,,,
ASIA 280,,,,,,
ASIA 281,,,,,,
ASIA 282,,,,,,
ASIA 283,,,,,,
ASIA 284,,,,,,
ASIA 285,,,,,,
ASIA 287,,,,,,
ASIA 288,,,,,,
ASIA 300,,,,,,
ASIA 301,,,,,,
ASIA 302,,,,,,
ASIA 303,,,,,,
ASIA 304,,,,,,
ASIA 329,,,,,,
ASIA 330,,,,,,
ASIA 331,,,,,,
ASIA 332,,,,,,
ASIA 333,,,,,,
ASIA 350,,,,,,
ASIA 353,,,,,,
ASIA 358,,,,,,
ASIA 359,,,,,,
ASIA 360,,,,,,
ASIA 365,,,,,,
ASIA 375,,,,,,
ASIA 379,,,,,,
ASIA 380,,,,,,
ASIA 381,,,,,,
ASIA 382,,,,,,
ASIA 383,,,,,,
ASIA 384,,,,,,
ASIA 386,,,,,,
ASIA 387,,,,,,
ASIA 390,,,,,,
ASIA 425,,,,,,
ASIA 427,,,,,,
ASIA 429,,,,,,
ASIA 431,,,,,,
ASIA 435,,,,,,
ASIA 436,,,,,,
ASIA 440,,,,,,
ASIA 441,,,,,,
ASIA 442,,,,,,
ASIA 445,,,,,,
ASIA 447,,,,,,
ASIA 453,,,,,,
ASIA 462,,,,,,
ASIA 469,ECON 400,ECON 310,ECON 410,ECON 400,ECON 310,ECON 410
ASIA 471,,,,,,
ASIA 482,,,,,,
ASIA 483,,,,,,
ASIA 485,,,,,,
ASIA 486,,,,,,
ASIA 487,,,,,,
ASIA 488,,,,,,
ASIA 489,,,,,,
ASIA 490,,,,,,
ASIA 496,,,,,,
ASIA 522,,,,,,
ASIA 536,,,,,,
ASIA 537,,,,,,
ASIA 538,,,,,,
ASIA 539,,,,,,
ASIA 545,,,,,,
ASIA 557,,,,,,
ASIA 570,,,,,,
ASIA 574,,,,,,
ASIA 581,,,,,,
ASIA 582,,,,,,
ASIA 583,,,,,,
ASIA 584,,,,,,
ASIA 587,,,,,,
ASIA 681,,,,,,
ASIA 682,,,,,,
ASIA 691H,,,,,,
ASIA 692H,,,,,,
ASIA 720,,,,,,
ASIA 721,,,,,,
ASIA 722,,,,,,
ASIA 725,,,,,,
ASIA 730,,,,,,
ASIA 731,,,,,,
ASIA 740,,,,,,
ASIA 741,,,,,,
ASIA 742,,,,,,
ASIA 770,,,,,,
ASIA 771,,,,,,
ASIA 780,,,,,,
ASIA 781,,,,,,
ASIA 782,,,,,,
ASIA 783,,,,,,
ASIA 785,,,,,,
ASIA 790,,,,,,
ASIA 991,,,,,,
ASIA 993,,,,,,
