Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6
ASTR 61,,,,,,
ASTR 63,,,,,,
ASTR 89,,,,,,
ASTR 100L,ASTR 100,ASTR 101,ASTR 102,ASTR 103,,
ASTR 100,,,,,,
ASTR 101,,,,,,
ASTR 102,ASTR 101,,,,,
ASTR 103,,,,,,
ASTR 105,,,,,,
ASTR 110,ASTR 100,ASTR 101,ASTR 102,ASTR 103,ASTR 111,ASTR 119
ASTR 111,,,,,,
ASTR 202,PHYS 119,,,,,
ASTR 205,,,,,,
ASTR 301,ASTR 102,ASTR 119,,,,
ASTR 390,,,,,,
ASTR 501,ASTR 202,ASTR 301,MATH 383,PHYS 331,,
ASTR 502,ASTR 202,,,,,
ASTR 503,ASTR 202,ASTR 301,MATH 383,PHYS 331,,
ASTR 504,ASTR 202,ASTR 301,PHYS 401,PHYS 421,,
ASTR 505,ASTR 202,ASTR 301,PHYS 331,,,
ASTR 511,ASTR 202,PHYS 412,,,,
ASTR 512,ASTR 202,PHYS 201,PHYS 401,,,
ASTR 519,ASTR 102,ASTR 202,PHYS 331,,,
ASTR 701,,,,,,
ASTR 702,PHYS 711,PHYS 721,,,,
ASTR 703,,,,,,
ASTR 704,PHYS 701,,,,,
ASTR 705,PHYS 711,PHYS 721,,,,
ASTR 711,,,,,,
ASTR 712,PHYS 701,,,,,
ASTR 719,,,,,,
ASTR 891,,,,,,
