Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6,Prereq_7,Prereq_8
BCB 555,COMP 210,COMP 211,COMP 401,COMP 410,MATH 231,BIOL 452,MATH 553,BIOL 525
BCB 645,,,,,,,,
BCB 701,,,,,,,,
BCB 702,,,,,,,,
BCB 710,,,,,,,,
BCB 712,,,,,,,,
BCB 715,,,,,,,,
BCB 716,,,,,,,,
BCB 717,,,,,,,,
BCB 718,,,,,,,,
BCB 720,,,,,,,,
BCB 722,,,,,,,,
BCB 723,,,,,,,,
BCB 724,,,,,,,,
BCB 725,,,,,,,,
BCB 730,,,,,,,,
BCB 731,BCB 720,BIOS 661,COMP 755,STOR 665,,,,
BCB 784,BIOS 661,BIOS 663,,,,,,
BCB 785,BIOS 661,BIOS 673,BIOS 663,,,,,
BCB 850,,,,,,,,
BCB 870,,,,,,,,
BCB 888,,,,,,,,
BCB 891,,,,,,,,
BCB 899,,,,,,,,
BCB 905,,,,,,,,
BCB 993,,,,,,,,
BCB 994,,,,,,,,
