Course Code,Prereq_1,Prereq_2,Prereq_3
BIOC 107,,,
BIOC 108,,,
BIOC 442,CHEM 430,,
BIOC 601,CHEM 430,,
BIOC 603,,,
BIOC 631,,,
BIOC 632,,,
BIOC 649,,,
BIOC 650,CHEM 430,,
BIOC 651,CHEM 430,,
BIOC 652,CHEM 430,,
BIOC 655,CHEM 430,,
BIOC 660,BIOC 650,BIOC 651,BIOC 652
BIOC 662,BIOC 650,BIOC 651,BIOC 652
BIOC 663A,BIOC 650,BIOC 651,BIOC 652
BIOC 663B,BIOC 664,,
BIOC 664,CHEM 430,,
BIOC 665,,,
BIOC 666,BIOC 650,BIOC 651,BIOC 652
BIOC 667,BIOC 666,,
BIOC 668,BIOC 650,BIOC 651,BIOC 652
BIOC 670,BIOC 650,BIOC 651,BIOC 652
BIOC 671,,,
BIOC 673,BIOC 650,BIOC 651,BIOC 652
BIOC 674,,,
BIOC 675,,,
BIOC 678,BIOC 650,BIOC 651,BIOC 652
BIOC 690,,,
BIOC 700,,,
BIOC 701,,,
BIOC 702,,,
BIOC 703,,,
BIOC 704,,,
BIOC 705,,,
BIOC 706,,,
BIOC 707,,,
BIOC 710,,,
BIOC 711,,,
BIOC 712,,,
BIOC 715,,,
BIOC 720,,,
BIOC 721,,,
BIOC 722A,,,
BIOC 722B,,,
BIOC 725,,,
BIOC 738,,,
BIOC 740,,,
BIOC 741,,,
BIOC 742,,,
BIOC 743,,,
BIOC 744,,,
BIOC 745,,,
BIOC 802,,,
BIOC 803,,,
BIOC 804,,,
BIOC 805,MATH 231,MATH 232,CHEM 481
BIOC 806,MATH 231,MATH 232,CHEM 430
BIOC 807,,,
BIOC 808,,,
BIOC 888,,,
BIOC 901,,,
BIOC 902,,,
BIOC 992,,,
BIOC 994,,,
