Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6,Prereq_7,Prereq_8,Prereq_9,Prereq_10
BIOL 53,,,,,,,,,,
BIOL 55,,,,,,,,,,
BIOL 57,,,,,,,,,,
BIOL 59,,,,,,,,,,
BIOL 61,,,,,,,,,,
BIOL 62,,,,,,,,,,
BIOL 64,,,,,,,,,,
BIOL 65,,,,,,,,,,
BIOL 66,,,,,,,,,,
BIOL 81,,,,,,,,,,
BIOL 89,,,,,,,,,,
BIOL 101,,,,,,,,,,
BIOL 101L,BIOL 101,,,,,,,,,
BIOL 102L,BIOL 101,,,,,,,,,
BIOL 103,BIOL 101,,,,,,,,,
BIOL 104,BIOL 101,BIOL 101L,BIOL 102L,,,,,,,
BIOL 105L,BIOL 101,BIOL 101L,BIOL 102L,,,,,,,
BIOL 113,,,,,,,,,,
BIOL 115,,,,,,,,,,
BIOL 117,,,,,,,,,,
BIOL 118,,,,,,,,,,
BIOL 150,,,,,,,,,,
BIOL 190,,,,,,,,,,
BIOL 190L,,,,,,,,,,
BIOL 195,,,,,,,,,,
BIOL 201,BIOL 101,CHEM 101,CHEM 102,BIOL 101,CHEM 101,CHEM 102,,,,
BIOL 202,BIOL 101,CHEM 101,CHEM 102,BIOL 101,CHEM 101,CHEM 102,,,,
BIOL 204,BIOL 103,,,,,,,,,
BIOL 205,BIOL 202,BIOL 202,,,,,,,,
BIOL 211,BIOL 201,BIOL 202,,,,,,,,
BIOL 213,BIOL 101,,,,,,,,,
BIOL 214H,BIOL 101,MATH 231,,,,,,,,
BIOL 217,BIOL 101,,,,,,,,,
BIOL 220,BIOL 101,BIOL 103,,,,,,,,
BIOL 221,BIOL 101,BIOL 221L,,,,,,,,
BIOL 221L,BIOL 101,BIOL 221,,,,,,,,
BIOL 222,BIOL 101,,,,,,,,,
BIOL 224H,MATH 231,BIOL 224L,,,,,,,,
BIOL 224L,MATH 231,BIOL 224H,,,,,,,,
BIOL 226,MATH 210,MATH 232,BIOL 226L,,,,,,,
BIOL 226L,MATH 210,MATH 232,BIOL 226,,,,,,,
BIOL 240,BIOL 103,,,,,,,,,
BIOL 250,BIOL 104,,,,,,,,,
BIOL 251L,,,,,,,,,,
BIOL 252,BIOL 101,BIOL 252L,,,,,,,,
BIOL 252L,BIOL 101,BIOL 101L,BIOL 102L,BIOL 252,,,,,,
BIOL 253L,BIOL 252,BIOL 252L,BIOL 253,,,,,,,
BIOL 253,BIOL 252,BIOL 252L,BIOL 253L,,,,,,,
BIOL 255,BIOL 101,,,,,,,,,
BIOL 255L,BIOL 101,BIOL 101L,BIOL 102L,BIOL 255,,,,,,
BIOL 256,,,,,,,,,,
BIOL 260,BIOL 104,,,,,,,,,
BIOL 271,BIOL 101,BIOL 101L,BIOL 102L,BIOL 271L,,,,,,
BIOL 271L,BIOL 101,BIOL 101L,BIOL 102L,BIOL 271,,,,,,
BIOL 272,BIOL 101,BIOL 101L,BIOL 102L,,,,,,,
BIOL 273,BIOL 101,,,,,,,,,
BIOL 274,BIOL 101,BIOL 101L,BIOL 102L,BIOL 274L,,,,,,
BIOL 274L,BIOL 101,BIOL 101L,BIOL 102L,BIOL 274,,,,,,
BIOL 277,BIOL 101,BIOL 101L,BIOL 102L,,,,,,,
BIOL 277L,BIOL 277,,,,,,,,,
BIOL 278,BIOL 101,BIOL 101L,BIOL 102L,,,,,,,
BIOL 278L,BIOL 278,,,,,,,,,
BIOL 279,,,,,,,,,,
BIOL 279L,,,,,,,,,,
BIOL 290,,,,,,,,,,
BIOL 290L,,,,,,,,,,
BIOL 291,,,,,,,,,,
BIOL 292,,,,,,,,,,
BIOL 293,BIOL 201,BIOL 202,BIOL 103,BIOL 104,,,,,,
BIOL 294,,,,,,,,,,
BIOL 295,BIOL 101,,,,,,,,,
BIOL 296,,,,,,,,,,
BIOL 350,,,,,,,,,,
BIOL 390,,,,,,,,,,
BIOL 395,BIOL 201,BIOL 202,BIOL 220,BIOL 240,BIOL 250,BIOL 260,,,,
BIOL 402,BIOL 205,BIOL 103,BIOL 104,BIOL 220,BIOL 240,,,,,
BIOL 405,BIOL 103,BIOL 104,,,,,,,,
BIOL 409L,ARTS 409,,,,,,,,,
BIOL 421L,BIOL 422,,,,,,,,,
