Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4
BIOS 392,,,,
BIOS 396,,,,
BIOS 500H,MATH 231,MATH 232,BIOS 511,
BIOS 511,,,,
BIOS 512,,,,
BIOS 540,,,,
BIOS 600,,,,
BIOS 611,MATH 232,STOR 151,,
BIOS 635,BIOS 512,BIOS 650,,
BIOS 641,,,,
BIOS 642,BIOS 641,,,
BIOS 645,BIOS 600,SPHG 711,,
BIOS 650,,,,
BIOS 660,,,,
BIOS 661,BIOS 660,,,
BIOS 662,BIOS 511,BIOS 650,,
BIOS 663,,,,
BIOS 664,BIOS 650,,,
BIOS 665,BIOS 645,BIOS 650,BIOS 662,
BIOS 667,BIOS 663,,,
BIOS 668,BIOS 645,BIOS 650,,
BIOS 669,BIOS 511,EPID 700,,
BIOS 670,,,,
BIOS 672,BIOS 660,,,
BIOS 673,BIOS 660,BIOS 661,,
BIOS 680,BIOS 661,,,
BIOS 690,,,,
BIOS 691,,,,
BIOS 693H,,,,
BIOS 694H,,,,
BIOS 700,BIOS 760,BIOS 761,BIOS 762,BIOS 767
BIOS 735,BIOS 660,BIOS 661,BIOS 662,BIOS 663
BIOS 740,,,,
BIOS 752,BIOS 600,BIOS 661,,
BIOS 756,BIOS 661,,,
BIOS 759,BIOS 661,BIOS 663,,
BIOS 760,BIOS 661,,,
BIOS 761,BIOS 760,,,
BIOS 762,BIOS 661,BIOS 663,BIOS 577,BIOS 760
BIOS 764,BIOS 664,,,
BIOS 765,BIOS 661,BIOS 663,BIOS 665,
BIOS 767,BIOS 661,BIOS 762,,
BIOS 771,BIOS 670,,,
BIOS 772,,,,
BIOS 773,BIOS 761,BIOS 762,,
BIOS 774,BIOS 661,,,
BIOS 775,BIOS 761,BIOS 762,,
BIOS 776,BIOS 661,BIOS 663,,
BIOS 777,,,,
BIOS 779,BIOS 762,,,
BIOS 780,BIOS 760,BIOS 761,,
BIOS 781,BIOS 661,BIOS 663,,
BIOS 782,BIOS 760,,,
BIOS 784,BIOS 661,BIOS 663,,
BIOS 785,BIOS 661,BIOS 673,BIOS 663,
BIOS 791,BIOS 761,,,
BIOS 841,,,,
BIOS 842,BIOS 511,BIOS 645,BIOS 650,BIOS 841
BIOS 843,,,,
BIOS 844,BIOS 841,,,
BIOS 850,,,,
BIOS 889,,,,
BIOS 990,,,,
BIOS 992,,,,
BIOS 994,,,,
