Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6
CHEM 70,,,,,,
CHEM 73,,,,,,
CHEM 74,,,,,,
CHEM 75,,,,,,
CHEM 89,,,,,,
CHEM 100,MATH 110,,,,,
CHEM 101,MATH 110,,,,,
CHEM 101L,CHEM 101,,,,,
CHEM 102,CHEM 101,CHEM 101L,CHEM 101,,,
CHEM 102L,CHEM 101L,CHEM 102,CHEM 102H,,,
CHEM 190,,,,,,
CHEM 200,MATH 110,,,,,
CHEM 210,,,,,,
CHEM 241,CHEM 102,CHEM 102H,,,,
CHEM 241L,CHEM 102L,CHEM 241,CHEM 241H,,,
CHEM 245L,CHEM 102L,CHEM 241H,,,,
CHEM 251,CHEM 102,CHEM 102H,,,,
CHEM 261,CHEM 102,CHEM 102H,,,,
CHEM 262,CHEM 261,CHEM 261H,,,,
CHEM 262L,CHEM 102L,CHEM 241L,CHEM 245L,CHEM 262,CHEM 262H,
CHEM 290,,,,,,
CHEM 291,CHEM 102,CHEM 102H,MATH 231,EDUC 150,,
CHEM 293,,,,,,
CHEM 295,CHEM 101,,,,,
CHEM 395,,,,,,
CHEM 396,,,,,,
CHEM 397H,CHEM 395H,,,,,
CHEM 410,CHEM 241,CHEM 251,CHEM 262,CHEM 262L,,
CHEM 420,CHEM 261,CHEM 261H,CHEM 262,CHEM 262H,CHEM 262L,
CHEM 421,CHEM 251,CHEM 262,CHEM 262H,,,
CHEM 422,CHEM 420,CHEM 481,,,,
CHEM 423,CHEM 422,,,,,
CHEM 425,CHEM 421,CHEM 422,,,,
CHEM 430,BIOL 101,CHEM 262,CHEM 262H,,,
CHEM 431,CHEM 430,BIOL 103,BIOL 202,,,
CHEM 432,CHEM 430,,,,,
CHEM 441,CHEM 241,CHEM 241L,CHEM 262,CHEM 480,CHEM 481,
CHEM 441L,CHEM 441,,,,,
CHEM 443,CHEM 441,CHEM 481,,,,
CHEM 444,CHEM 441,CHEM 480,CHEM 481,,,
CHEM 445,CHEM 480,CHEM 481,CHEM 441,,,
CHEM 446,CHEM 441,CHEM 482,,,,
CHEM 447,CHEM 441,,,,,
CHEM 448,CHEM 480,CHEM 481,CHEM 441,,,
CHEM 449,CHEM 441,,,,,
CHEM 450,CHEM 251,,,,,
CHEM 451,CHEM 262,CHEM 262H,CHEM 450,,,
CHEM 452,CHEM 451,,,,,
CHEM 453,CHEM 465,,,,,
CHEM 460,CHEM 262,CHEM 262H,,,,
CHEM 463,CHEM 262,CHEM 430,,,,
CHEM 465,CHEM 450,,,,,
CHEM 466,CHEM 460,,,,,
CHEM 467,CHEM 466,,,,,
CHEM 468,CHEM 466,,,,,
CHEM 469,CHEM 450,CHEM 466,,,,
CHEM 470,CHEM 482,PHYS 128,PHYS 441,,,
CHEM 472,CHEM 482,CHEM 119,,,,
CHEM 473,CHEM 470,,,,,
CHEM 480,CHEM 261,CHEM 261H,MATH 232,MATH 115,MATH 119,
CHEM 481,CHEM 102,CHEM 102H,PHYS 118,MATH 383,PHYS 119,
CHEM 481L,CHEM 482,,,,,
CHEM 482,CHEM 481,,,,,
CHEM 482L,CHEM 482,,,,,
CHEM 484,CHEM 482,,,,,
CHEM 485,CHEM 481,CHEM 482,,,,
CHEM 486,CHEM 481,CHEM 482,,,,
CHEM 487,CHEM 486,,,,,
CHEM 488,CHEM 486,,,,,
CHEM 489,CHEM 484,,,,,
CHEM 492,,,,,,
CHEM 520L,CHEM 420,CHEM 421,CHEM 425,,,
CHEM 530L,BIOL 202,CHEM 430,,,,
CHEM 541L,CHEM 441,,,,,
CHEM 550L,CHEM 241L,CHEM 245L,CHEM 251,CHEM 262L,,
CHEM 551L,CHEM 262L,CHEM 251,,,,
CHEM 692H,CHEM 395,,,,,
CHEM 701,,,,,,
CHEM 721,,,,,,
CHEM 730,CHEM 430,,,,,
CHEM 731,,,,,,
CHEM 732,,,,,,
CHEM 733,,,,,,
CHEM 741,,,,,,
CHEM 742,,,,,,
CHEM 742L,CHEM 742,,,,,
CHEM 744,,,,,,
CHEM 745,,,,,,
CHEM 752,,,,,,
CHEM 754,,,,,,
CHEM 755,,,,,,
CHEM 758,,,,,,
CHEM 761,,,,,,
CHEM 764,,,,,,
CHEM 765,CHEM 466,,,,,
CHEM 780,,,,,,
CHEM 781,,,,,,
CHEM 783,,,,,,
CHEM 786,,,,,,
CHEM 791,,,,,,
CHEM 921,,,,,,
CHEM 931,,,,,,
CHEM 941,,,,,,
CHEM 951,,,,,,
CHEM 961,,,,,,
CHEM 981,,,,,,
CHEM 992,,,,,,
CHEM 993,CHEM 921,CHEM 931,CHEM 941,CHEM 951,CHEM 961,CHEM 981
CHEM 994,CHEM 921,CHEM 931,CHEM 941,CHEM 951,CHEM 961,CHEM 981
