Course Code,Prereq_1,Prereq_2
CHIN 101,,
CHIN 102,CHIN 101,
CHIN 111,,
CHIN 150,,
CHIN 203,CHIN 102,
CHIN 204,CHIN 203,
CHIN 212,CHIN 111,
CHIN 238,,
CHIN 242,,
CHIN 244,,
CHIN 247,,
CHIN 252,,
CHIN 253,CHIN 102,CHIN 111
CHIN 255,,
CHIN 305,CHIN 204,
CHIN 306,CHIN 305,
CHIN 308,CHIN 212,CHIN 305
CHIN 313,CHIN 212,
CHIN 346,,
CHIN 356,,
CHIN 361,,
CHIN 367,,
CHIN 407,CHIN 306,
CHIN 408,CHIN 407,
CHIN 441,,
CHIN 443,,
CHIN 445,,
CHIN 463,,
CHIN 464,,
CHIN 475,,
CHIN 476,,
CHIN 480,,
CHIN 490,,
CHIN 496,,
CHIN 510,,
CHIN 521,CHIN 408,CHIN 313
CHIN 525,CHIN 408,CHIN 313
CHIN 545,,
CHIN 551,,
CHIN 552,,
CHIN 562,,
CHIN 590,CHIN 408,CHIN 313
CHIN 624,CHIN 313,CHIN 408
CHIN 631,CHIN 313,CHIN 408
