Course Code,Prereq_1,Prereq_2
CLAR 50,,
CLAR 51,,
CLAR 110,,
CLAR 120,,
CLAR 190,,
CLAR 200,,
CLAR 241,,
CLAR 242,,
CLAR 243,,
CLAR 244,,
CLAR 247,,
CLAR 268,,
CLAR 375,,
CLAR 380,,
CLAR 395,,
CLAR 396,,
CLAR 411,,
CLAR 461,,
CLAR 464,CLAR 244,
CLAR 465,CLAR 247,
CLAR 474,CLAR 247,
CLAR 475,,
CLAR 476,CLAR 247,
CLAR 480,CLAR 242,CLAR 247
CLAR 482,,
CLAR 491,CLAR 243,CLAR 244
CLAR 492,,
CLAR 512,,
CLAR 650,,
CLAR 781,,
CLAR 782,,
CLAR 790,,
CLAR 794,,
CLAR 798,,
CLAR 812,,
CLAR 841,,
CLAR 910,,
CLAR 993,,
CLAR 994,,
