Course Code,Prereq_1,Prereq_2
CLAS 51,,
CLAS 55,,
CLAS 57,,
CLAS 59,,
CLAS 61,,
CLAS 62,,
CLAS 63,,
CLAS 64,,
CLAS 65,,
CLAS 67,,
CLAS 89,,
CLAS 121,,
CLAS 122,,
CLAS 123,,
CLAS 126,,
CLAS 131,,
CLAS 133H,,
CLAS 231,,
CLAS 240,,
CLAS 241,,
CLAS 242,,
CLAS 243,,
CLAS 253,,
CLAS 254,,
CLAS 257,,
CLAS 258,,
CLAS 259,,
CLAS 263,,
CLAS 361,,
CLAS 362,,
CLAS 363,,
CLAS 364,,
CLAS 365,,
CLAS 371,,
CLAS 391,,
CLAS 395,,
CLAS 396,,
CLAS 409,,
CLAS 415,,
CLAS 511,GREK 204,LATN 204
CLAS 691H,,
CLAS 692H,,
CLAS 710,,
CLAS 711,,
CLAS 720,,
CLAS 747,,
CLAS 901,,
