Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4
CLSC 150,,,,
CLSC 410,,,,
CLSC 410L,,,,
CLSC 420,,,,
CLSC 420L,,,,
CLSC 430,,,,
CLSC 440,,,,
CLSC 440L,,,,
CLSC 442,,,,
CLSC 442L,,,,
CLSC 450,,,,
CLSC 460,,,,
CLSC 460L,,,,
CLSC 462,,,,
CLSC 462L,,,,
CLSC 470,,,,
CLSC 470L,,,,
CLSC 480,,,,
CLSC 480L,,,,
CLSC 540L,CLSC 440,,,
CLSC 542L,CLSC 440,,,
CLSC 550L,CLSC 450,,,
CLSC 560L,CLSC 462,,,
CLSC 570L,CLSC 470,,,
CLSC 580L,CLSC 480,CLSC 480L,,
CLSC 582L,CLSC 480,,,
CLSC 620,,,,
CLSC 630,,,,
CLSC 670,,,,
CLSC 695,CLSC 630,CLSC 730,,
CLSC 708,,,,
CLSC 710,,,,
CLSC 720,CLSC 710,,,
CLSC 722,CLSC 710,,,
CLSC 730,CLSC 708,,,
CLSC 735,CLSC 730,CLSC 772,,
CLSC 750,,,,
CLSC 765,,,,
CLSC 770,,,,
CLSC 772,CLSC 708,,,
CLSC 775,CLSC 770,CLSC 772,,
CLSC 780,CLSC 730,CLSC 750,CLSC 770,CLSC 772
CLSC 790,CLSC 780,,,
