Course Code,Prereq_1
CMPL 55,
CMPL 62,
CMPL 89,
CMPL 120,
CMPL 121,
CMPL 122,
CMPL 123,
CMPL 124,
CMPL 130,
CMPL 131,
CMPL 132,
CMPL 133,
CMPL 134,
CMPL 142,
CMPL 143,
CMPL 144,
CMPL 150,
CMPL 180,
CMPL 198H,
CMPL 212,
CMPL 220,
CMPL 223,
CMPL 225,
CMPL 227,
CMPL 230,
CMPL 232,
CMPL 237,
CMPL 238,
CMPL 240,
CMPL 246,
CMPL 247,
CMPL 250,
CMPL 251,
CMPL 252,
CMPL 254,
CMPL 255,
CMPL 256,
CMPL 257,
CMPL 258,
CMPL 259,
CMPL 260,
CMPL 261,
CMPL 262,
CMPL 263,
CMPL 266,
CMPL 267,
CMPL 269,
CMPL 270,
CMPL 271,
CMPL 272,
CMPL 275,
CMPL 277H,
CMPL 279,
CMPL 280,
CMPL 281,
CMPL 282,
CMPL 288,
CMPL 317,
CMPL 359,
CMPL 364,
CMPL 374,
CMPL 375,
CMPL 377,
CMPL 379,
CMPL 380,
CMPL 382,
CMPL 383,
CMPL 385,
CMPL 386,
CMPL 387,
CMPL 388,
CMPL 389,
CMPL 390,
CMPL 395,
CMPL 411,
CMPL 420,
CMPL 442,
CMPL 450,
CMPL 452,
CMPL 453,
CMPL 454,
CMPL 456,
CMPL 460,ENGL 105
CMPL 462,
CMPL 463,
CMPL 466,
CMPL 468,
CMPL 469,
CMPL 470,
CMPL 472,
CMPL 473,
CMPL 477,
CMPL 479,
CMPL 480,
CMPL 482,
CMPL 483,
CMPL 485,
CMPL 487,
CMPL 489,
CMPL 490,
CMPL 494,
CMPL 495,
CMPL 496,
CMPL 520,
CMPL 527,
CMPL 535,
CMPL 545,
CMPL 547,
CMPL 558,
CMPL 560,
CMPL 563,
CMPL 621,
CMPL 622,
CMPL 624,
CMPL 685,
CMPL 691H,
CMPL 692H,CMPL 691H
CMPL 700,
CMPL 737,
CMPL 741,
CMPL 745,
CMPL 747,
CMPL 796,
CMPL 821,
CMPL 841,
CMPL 842,
CMPL 843,
CMPL 844,
CMPL 890,
CMPL 892,
CMPL 894,
CMPL 900,
CMPL 992,
CMPL 993,
CMPL 994,
