Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6,Prereq_7,Prereq_8
COMM 51,,,,,,,,
COMM 53,,,,,,,,
COMM 57,,,,,,,,
COMM 61,,,,,,,,
COMM 62,,,,,,,,
COMM 63,,,,,,,,
COMM 73,,,,,,,,
COMM 75,,,,,,,,
COMM 82,,,,,,,,
COMM 83,,,,,,,,
COMM 84,,,,,,,,
COMM 85,,,,,,,,
COMM 86,,,,,,,,
COMM 88,,,,,,,,
COMM 89,,,,,,,,
COMM 100,,,,,,,,
COMM 113,,,,,,,,
COMM 120,,,,,,,,
COMM 130,,,,,,,,
COMM 131,,,,,,,,
COMM 140,,,,,,,,
COMM 142,COMM 140,,,,,,,
COMM 150,,,,,,,,
COMM 160,,,,,,,,
COMM 170,,,,,,,,
COMM 171,,,,,,,,
COMM 223,COMM 120,,,,,,,
COMM 224,,,,,,,,
COMM 230,COMM 130,COMM 140,COMM 130,,,,,
COMM 249,,,,,,,,
COMM 251,,,,,,,,
COMM 260,,,,,,,,
COMM 262,,,,,,,,
COMM 263,,,,,,,,
COMM 312,COMM 120,,,,,,,
COMM 318,,,,,,,,
COMM 325,COMM 120,,,,,,,
COMM 330,,,,,,,,
COMM 331,,,,,,,,
COMM 334,COMM 330,,,,,,,
COMM 335,,,,,,,,
COMM 337,,,,,,,,
COMM 345,,,,,,,,
COMM 348,,,,,,,,
COMM 350,,,,,,,,
COMM 355,,,,,,,,
COMM 360,COMM 140,,,,,,,
COMM 371,,,,,,,,
COMM 372,,,,,,,,
COMM 374,,,,,,,,
COMM 375,,,,,,,,
COMM 386,,,,,,,,
COMM 387,,,,,,,,
COMM 390,,,,,,,,
COMM 393,,,,,,,,
COMM 396,,,,,,,,
COMM 412,,,,,,,,
COMM 422,COMM 120,,,,,,,
COMM 423,,,,,,,,
COMM 430,,,,,,,,
COMM 431,COMM 130,COMM 150,COMM 130,,,,,
COMM 432,COMM 140,,,,,,,
COMM 433,COMM 131,,,,,,,
COMM 435,,,,,,,,
COMM 437,COMM 160,,,,,,,
COMM 450,COMM 140,,,,,,,
COMM 453,COMM 140,,,,,,,
COMM 454,,,,,,,,
COMM 455,COMM 140,,,,,,,
COMM 463,COMM 160,DRAM 120,ENGL 206,ENGL 207,ENGL 208,,,
COMM 464,,,,,,,,
COMM 466,COMM 160,,,,,,,
COMM 470,,,,,,,,
COMM 471,,,,,,,,
COMM 472,COMM 170,,,,,,,
COMM 490,,,,,,,,
COMM 499,,,,,,,,
COMM 500,COMM 170,,,,,,,
COMM 521,,,,,,,,
COMM 523,COMM 120,,,,,,,
COMM 524,COMM 224,,,,,,,
COMM 525,COMM 120,COMM 325,,,,,,
COMM 526,COMM 325,,,,,,,
COMM 527,COMM 325,,,,,,,
COMM 532,,,,,,,,
COMM 534,COMM 230,,,,,,,
COMM 535,COMM 131,COMM 330,ENGL 130,ENGL 132H,,,,
COMM 537,COMM 433,,,,,,,
COMM 549,,,,,,,,
COMM 561,COMM 160,,,,,,,
COMM 562,,,,,,,,
COMM 564,COMM 160,,,,,,,
COMM 568,COMM 160,,,,,,,
COMM 571,COMM 170,,,,,,,
COMM 572,COMM 170,,,,,,,
COMM 573,COMM 170,,,,,,,
COMM 574,,,,,,,,
COMM 575,COMM 170,,,,,,,
COMM 576,,,,,,,,
COMM 577,,,,,,,,
