Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6,Prereq_7,Prereq_8
DHYG 236,,,,,,,,
DHYG 237,,,,,,,,
DHYG 241,,,,,,,,
DHYG 251,,,,,,,,
DHYG 252,,,,,,,,
DHYG 253,,,,,,,,
DHYG 257,,,,,,,,
DHYG 257L,,,,,,,,
DHYG 261,,,,,,,,
DHYG 262,,,,,,,,
DHYG 263,,,,,,,,
DHYG 264,,,,,,,,
DHYG 265,,,,,,,,
DHYG 267,DHYG 257,DHYG 257L,DHYG 253,,,,,
DHYG 267L,DHYG 257,DHYG 257L,DHYG 253,,,,,
DHYG 269,,,,,,,,
DHYG 351,,,,,,,,
DHYG 352,,,,,,,,
DHYG 357,DHYG 257,DHYG 257L,DHYG 267,DHYG 267L,,,,
DHYG 357L,DHYG 257,DHYG 257L,DHYG 267,DHYG 267L,,,,
DHYG 362,DHYG 352,,,,,,,
DHYG 363,,,,,,,,
DHYG 367,DHYG 257,DHYG 257L,DHYG 267,DHYG 267L,DHYG 357,DHYG 357L,,
DHYG 367L,DHYG 257,DHYG 257L,DHYG 267,DHYG 267L,DHYG 357,DHYG 357L,,
DHYG 377,DHYG 257,DHYG 257L,DHYG 267,DHYG 267L,DHYG 357,DHYG 357L,DHYG 367,DHYG 367L
DHYG 377L,DHYG 257,DHYG 257L,DHYG 267,DHYG 267L,DHYG 357,DHYG 357L,DHYG 367,DHYG 367L
DHYG 379,DHYG 269,,,,,,,
DHYG 390,,,,,,,,
DHYG 393,,,,,,,,
DHYG 401,,,,,,,,
DHYG 402,,,,,,,,
DHYG 403,,,,,,,,
DHYG 405,,,,,,,,
DHYG 407,,,,,,,,
DHYG 408,,,,,,,,
DHYG 409,,,,,,,,
DHYG 411,,,,,,,,
DHYG 412,,,,,,,,
DHYG 413,,,,,,,,
DHYG 414,,,,,,,,
DHYG 415,,,,,,,,
DHYG 416,,,,,,,,
DHYG 417,,,,,,,,
DHYG 421,,,,,,,,
DHYG 422,,,,,,,,
DHYG 423,,,,,,,,
DHYG 424,,,,,,,,
DHYG 427,,,,,,,,
DHYG 490,,,,,,,,
DHYG 493,,,,,,,,
DHYG 495,,,,,,,,
DHYG 595,,,,,,,,
DHYG 691H,DHYG 495,,,,,,,
DHYG 692H,DHYG 495,DHYG 691H,,,,,,
