Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4
DRAM 79,,,,
DRAM 80,,,,
DRAM 81,,,,
DRAM 83,,,,
DRAM 85,,,,
DRAM 87,,,,
DRAM 89,,,,
DRAM 115,,,,
DRAM 116,,,,
DRAM 117,,,,
DRAM 120,,,,
DRAM 131,,,,
DRAM 134,,,,
DRAM 135,,,,
DRAM 140,,,,
DRAM 144,,,,
DRAM 150,DRAM 120,,,
DRAM 151,,,,
DRAM 154,,,,
DRAM 155,,,,
DRAM 156,,,,
DRAM 160,,,,
DRAM 170,,,,
DRAM 191,,,,
DRAM 192,,,,
DRAM 193,,,,
DRAM 196,,,,
DRAM 220,DRAM 120,,,
DRAM 230,,,,
DRAM 231,,,,
DRAM 240,DRAM 140,,,
DRAM 245,DRAM 135,DRAM 150,,
DRAM 250,DRAM 150,,,
DRAM 255,DRAM 155,,,
DRAM 260,DRAM 160,,,
DRAM 265,,,,
DRAM 277,,,,
DRAM 279,,,,
DRAM 281,DRAM 120,DRAM 220,,
DRAM 282,DRAM 120,DRAM 220,,
DRAM 283,DRAM 120,,,
DRAM 284,,,,
DRAM 285,,,,
DRAM 287,,,,
DRAM 288,,,,
DRAM 290,,,,
DRAM 292,,,,
DRAM 294,,,,
DRAM 300,DRAM 120,,,
DRAM 331,DRAM 231,,,
DRAM 350,DRAM 250,,,
DRAM 393,,,,
DRAM 460,,,,
DRAM 465,,,,
DRAM 466,,,,
DRAM 467,,,,
DRAM 468,,,,
DRAM 470,,,,
DRAM 473,,,,
DRAM 474,DRAM 473,,,
DRAM 480,,,,
DRAM 484,,,,
DRAM 486,,,,
DRAM 488,,,,
DRAM 491,,,,
DRAM 493,,,,
DRAM 586,DRAM 192,,,
DRAM 587,,,,
DRAM 588,,,,
DRAM 589,,,,
DRAM 590,,,,
DRAM 650,DRAM 192,,,
DRAM 666,,,,
DRAM 667,DRAM 192,,,
DRAM 691H,,,,
DRAM 692H,DRAM 691H,,,
DRAM 697,,,,
DRAM 720,,,,
DRAM 721,,,,
DRAM 722,,,,
DRAM 723,,,,
DRAM 724,,,,
DRAM 725,,,,
DRAM 726,,,,
DRAM 727,,,,
DRAM 728,,,,
DRAM 750,,,,
DRAM 752,,,,
DRAM 760,DRAM 473,,,
DRAM 762,DRAM 473,,,
DRAM 764,DRAM 473,DRAM 474,DRAM 760,DRAM 762
DRAM 766,,,,
DRAM 770,,,,
DRAM 772,,,,
DRAM 774,,,,
DRAM 776,,,,
DRAM 780,,,,
DRAM 790,,,,
DRAM 791,,,,
DRAM 792,,,,
DRAM 793,,,,
DRAM 796,,,,
DRAM 799,,,,
DRAM 800,DRAM 491,,,
DRAM 801,,,,
DRAM 802,,,,
DRAM 803,,,,
DRAM 805,DRAM 192,,,
DRAM 806,,,,
DRAM 813,,,,
DRAM 814,,,,
DRAM 820,,,,
DRAM 821,,,,
DRAM 830,,,,
DRAM 841,,,,
DRAM 842,,,,
DRAM 843,DRAM 841,,,
DRAM 844,,,,
DRAM 845,,,,
DRAM 875,,,,
DRAM 992,,,,
