Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5
EDMX 704,,,,,
EDMX 706,,,,,
EDMX 707,,,,,
EDMX 708,,,,,
EDMX 709,,,,,
EDMX 710,,,,,
EDMX 715,EDMX 707,,,,
EDMX 716,,,,,
EDMX 721,,,,,
EDMX 722,,,,,
EDMX 723,,,,,
EDMX 724,,,,,
EDMX 725,EDMX 723,,,,
EDMX 726,,,,,
EDMX 727,EDMX 723,,,,
EDMX 728,,,,,
EDMX 730,,,,,
EDMX 731,,,,,
EDMX 732,,,,,
EDMX 733,,,,,
EDMX 734,,,,,
EDMX 735,,,,,
EDMX 736,EDMX 723,EDMX 724,EDMX 725,EDMX 727,EDMX 730
EDMX 757,,,,,
EDMX 758,,,,,
EDMX 759,,,,,
EDMX 760,,,,,
EDMX 761,,,,,
EDMX 762,,,,,
EDMX 763,,,,,
EDMX 764,,,,,
EDMX 765,,,,,
EDMX 766,,,,,
EDMX 767,,,,,
EDMX 768,EDMX 764,EDMX 765,EDMX 766,,
EDMX 775,,,,,
EDMX 776,,,,,
EDMX 777,,,,,
EDMX 778,,,,,
EDMX 779,,,,,
EDMX 782,,,,,
EDMX 789,,,,,
EDMX 792,,,,,
EDMX 794,,,,,
EDMX 810,,,,,
