Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6
EDUC 65,,,,,,
EDUC 89,,,,,,
EDUC 101,,,,,,
EDUC 111,,,,,,
EDUC 121,,,,,,
EDUC 122,,,,,,
EDUC 130,,,,,,
EDUC 140,,,,,,
EDUC 149,,,,,,
EDUC 150,,,,,,
EDUC 181,,,,,,
EDUC 190,,,,,,
EDUC 211,,,,,,
EDUC 221,,,,,,
EDUC 222,,,,,,
EDUC 230,,,,,,
EDUC 231,,,,,,
EDUC 250,,,,,,
EDUC 257,,,,,,
EDUC 301,,,,,,
EDUC 309,,,,,,
EDUC 311,,,,,,
EDUC 316,,,,,,
EDUC 317,,,,,,
EDUC 318,,,,,,
EDUC 320,,,,,,
EDUC 325,,,,,,
EDUC 330,,,,,,
EDUC 349,,,,,,
EDUC 357,,,,,,
EDUC 375,,,,,,
EDUC 387,,,,,,
EDUC 390,,,,,,
EDUC 400,,,,,,
EDUC 401,,,,,,
EDUC 402,,,,,,
EDUC 403,,,,,,
EDUC 404,EDUC 401,,,,,
EDUC 405,,,,,,
EDUC 408,,,,,,
EDUC 410,,,,,,
EDUC 411,,,,,,
EDUC 413,,,,,,
EDUC 415,,,,,,
EDUC 416,,,,,,
EDUC 421,,,,,,
EDUC 422,EDUC 421,,,,,
EDUC 441,,,,,,
EDUC 461I,,,,,,
EDUC 464,,,,,,
EDUC 465,,,,,,
EDUC 466,,,,,,
EDUC 469,EDUC 465,EDUC 466,,,,
EDUC 470,,,,,,
EDUC 472,EDUC 257,,,,,
EDUC 475,,,,,,
EDUC 480,,,,,,
EDUC 493,,,,,,
EDUC 496,,,,,,
EDUC 501,,,,,,
EDUC 503,,,,,,
EDUC 504,,,,,,
EDUC 505,,,,,,
EDUC 506,,,,,,
EDUC 507,,,,,,
EDUC 508,,,,,,
EDUC 509,,,,,,
EDUC 510,,,,,,
EDUC 512,,,,,,
EDUC 513,,,,,,
EDUC 515,,,,,,
EDUC 516,,,,,,
EDUC 517,,,,,,
EDUC 518,,,,,,
EDUC 519,EDUC 593,,,,,
EDUC 520,,,,,,
EDUC 521,,,,,,
EDUC 522,,,,,,
EDUC 523,,,,,,
EDUC 524,,,,,,
EDUC 526,,,,,,
EDUC 527,,,,,,
EDUC 528,,,,,,
EDUC 529,,,,,,
EDUC 530,,,,,,
EDUC 531,,,,,,
EDUC 532,,,,,,
EDUC 533,,,,,,
EDUC 534,,,,,,
EDUC 535,,,,,,
EDUC 540,,,,,,
EDUC 541,,,,,,
EDUC 542,,,,,,
EDUC 543,,,,,,
EDUC 546,,,,,,
EDUC 550,,,,,,
EDUC 551,EDUC 550,,,,,
EDUC 552,EDUC 551,,,,,
EDUC 555,,,,,,
EDUC 556,EDUC 555,,,,,
EDUC 557,EDUC 556,,,,,
EDUC 560,,,,,,
EDUC 561,,,,,,
EDUC 562,,,,,,
EDUC 563,,,,,,
EDUC 564,,,,,,
EDUC 565,,,,,,
EDUC 566,,,,,,
EDUC 567,,,,,,
EDUC 568,EDUC 465,EDUC 466,EDUC 469,EDUC 593,,
EDUC 570,,,,,,
EDUC 571,,,,,,
EDUC 572,,,,,,
EDUC 573,,,,,,
EDUC 574,,,,,,
EDUC 575,,,,,,
EDUC 576,EDUC 575,,,,,
EDUC 583,EDUC 408,,,,,
EDUC 585,EDUC 309,,,,,
EDUC 591,,,,,,
EDUC 593,,,,,,
EDUC 595,,,,,,
EDUC 601,,,,,,
EDUC 605,,,,,,
EDUC 611,,,,,,
EDUC 614,,,,,,
EDUC 615,,,,,,
EDUC 616,,,,,,
EDUC 617,,,,,,
EDUC 626,,,,,,
EDUC 627,,,,,,
EDUC 628,,,,,,
EDUC 629,,,,,,
EDUC 630,EDUC 408,,,,,
EDUC 672,,,,,,
EDUC 685,,,,,,
EDUC 686,,,,,,
EDUC 687,,,,,,
EDUC 688,,,,,,
EDUC 689,,,,,,
EDUC 691H,,,,,,
EDUC 694H,EDUC 691H,EDUC 691H,,,,
EDUC 695,EDUC 257,EDUC 309,EDUC 357,EDUC 505,EDUC 508,EDUC 585
EDUC 697,,,,,,
EDUC 698,EDUC 181,EDUC 408,EDUC 583,,,
EDUC 699,,,,,,
EDUC 701,,,,,,
EDUC 702,,,,,,
EDUC 703,,,,,,
EDUC 704,,,,,,
EDUC 705,EDUC 703,EDUC 712,,,,
EDUC 706,,,,,,
EDUC 707,,,,,,
EDUC 708,,,,,,
EDUC 709,,,,,,
EDUC 710,,,,,,
EDUC 711,,,,,,
EDUC 712,EDUC 702,EDUC 703,,,,
EDUC 713,EDUC 702,,,,,
EDUC 714,,,,,,
EDUC 715,,,,,,
EDUC 716,,,,,,
