Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6
EMES 51,,,,,,
EMES 52,,,,,,
EMES 53,,,,,,
EMES 55,,,,,,
EMES 59,,,,,,
EMES 68,,,,,,
EMES 72H,,,,,,
EMES 76,,,,,,
EMES 77,,,,,,
EMES 79,,,,,,
EMES 89,,,,,,
EMES 101,,,,,,
EMES 101L,EMES 101,EMES 200,EMES 201,,,
EMES 103,,,,,,
EMES 103L,EMES 103,,,,,
EMES 105,,,,,,
EMES 108,,,,,,
EMES 190,,,,,,
EMES 200,,,,,,
EMES 201,,,,,,
EMES 203,,,,,,
EMES 204,BIOL 103,,,,,
EMES 220,,,,,,
EMES 221,,,,,,
EMES 301,EMES 101,EMES 200,CHEM 101,,,
EMES 302,EMES 101,EMES 200,,,,
EMES 303,EMES 200,EMES 201,,,,
EMES 304,EMES 200,EMES 301,,,,
EMES 305,CHEM 101,,,,,
EMES 306,EMES 101,EMES 200,EMES 201,,,
EMES 310,EMES 101,EMES 103,EMES 401,,,
EMES 314,,,,,,
EMES 320,PHYS 114,PHYS 118,MATH 231,,,
EMES 324,,,,,,
EMES 324L,,,,,,
EMES 352,EMES 103,EMES 401,ENEC 202,,,
EMES 390,,,,,,
EMES 395,,,,,,
EMES 396,,,,,,
EMES 401,,,,,,
EMES 405,EMES 101,EMES 200,EMES 201,,,
EMES 406,PHYS 114,PHYS 118,PHYS 115,PHYS 119,,
EMES 410,CHEM 102,MATH 231,PHYS 115,PHYS 119,,
EMES 411,BIOL 101,CHEM 102,ENEC 222,MATH 231,PHYS 115,PHYS 119
EMES 412,,,,,,
EMES 414,EMES 201,EMES 324,MATH 232,PHYS 114,PHYS 118,
EMES 415,MATH 383,PHYS 115,PHYS 118,COMP 116,,
EMES 417,MATH 231,,,,,
EMES 421,,,,,,
EMES 422,MATH 383,PHYS 201,PHYS 211,PHYS 311,PHYS 401,
EMES 425,,,,,,
EMES 431,,,,,,
EMES 432,EMES 303,EMES 306,,,,
EMES 433,,,,,,
EMES 434,,,,,,
EMES 435,EMES 324,MATH 232,PHYS 114,PHYS 118,,
EMES 436,CHEM 102,MATH 231,,,,
EMES 438,EMES 200,EMES 302,MATH 231,,,
EMES 441,,,,,,
EMES 442,,,,,,
EMES 443,,,,,,
EMES 444,,,,,,
EMES 446,,,,,,
EMES 447,,,,,,
EMES 448,CHEM 102,MATH 231,,,,
EMES 450,MATH 231,PHYS 114,PHYS 118,,,
EMES 460,MATH 232,,,,,
EMES 466,BIOL 103,BIOL 104,,,,
EMES 470,,,,,,
EMES 471,CHEM 102,MATH 231,,,,
EMES 472,,,,,,
EMES 483,,,,,,
EMES 485,EMES 302,EMES 303,EMES 304,,,
EMES 486,EMES 302,EMES 303,EMES 304,,,
EMES 490,,,,,,
EMES 501,,,,,,
EMES 503,,,,,,
EMES 504,EMES 304,,,,,
EMES 505,,,,,,
EMES 506,,,,,,
EMES 507,,,,,,
EMES 508,EMES 324,MATH 231,,,,
EMES 511,CHEM 102,,,,,
EMES 512,EMES 310,EMES 417,EMES 503,,,
EMES 520,MATH 231,MATH 232,,,,
EMES 525,,,,,,
EMES 560,PHYS 401,,,,,
EMES 561,MATH 233,,,,,
EMES 563,,,,,,
EMES 567,EMES 101,EMES 200,EMES 201,,,
EMES 580,,,,,,
EMES 590,,,,,,
EMES 608,EMES 302,PHYS 114,PHYS 118,,,
EMES 655,,,,,,
EMES 691H,,,,,,
EMES 692H,EMES 691H,,,,,
