Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5
EPID 600,,,,,
EPID 625,EPID 600,,,,
EPID 626,,,,,
EPID 695,,,,,
EPID 696,,,,,
EPID 700,,,,,
EPID 701,,,,,
EPID 702,,,,,
EPID 704,,,,,
EPID 705,,,,,
EPID 710,BIOS 600,SPHG 711,,,
EPID 711,,,,,
EPID 712,EPID 710,,,,
EPID 715,EPID 705,EPID 710,EPID 711,,
EPID 716,EPID 710,EPID 711,EPID 700,EPID 795,BIOS 511
EPID 718,EPID 715,EPID 716,,,
EPID 719,,,,,
EPID 722,EPID 718,,,,
EPID 726,EPID 715,EPID 804,,,
EPID 731,,,,,
EPID 735,,,,,
EPID 738A,EPID 735,,,,
EPID 738B,EPID 735,,,,
EPID 738C,EPID 735,,,,
EPID 742,,,,,
EPID 743,EPID 715,,,,
EPID 750,,,,,
EPID 751,,,,,
EPID 754,EPID 715,EPID 716,,,
EPID 755,,,,,
EPID 757,EPID 600,,,,
EPID 758,EPID 600,,,,
EPID 759,,,,,
EPID 760,,,,,
EPID 764,EPID 710,,,,
EPID 765,,,,,
EPID 766,EPID 710,EPID 600,,,
EPID 770,BIOS 600,EPID 710,,,
EPID 771,EPID 710,EPID 711,,,
EPID 772,,,,,
EPID 775,EPID 715,EPID 718,EPID 770,EPID 771,
EPID 780,,,,,
EPID 785,EPID 710,BIOS 600,,,
EPID 787,,,,,
EPID 790,EPID 705,EPID 710,,,
EPID 795,,,,,
EPID 799A,,,,,
EPID 799B,,,,,
EPID 799C,,,,,
EPID 801,,,,,
EPID 804,EPID 711,,,,
EPID 810,EPID 600,,,,
EPID 814,EPID 715,EPID 716,NUTR 812,NUTR 813,
EPID 818,EPID 600,EPID 710,NUTR 813,,
EPID 823,,,,,
EPID 826,EPID 600,,,,
EPID 827,EPID 710,EPID 715,EPID 716,,
EPID 851,BIOS 600,EPID 600,,,
EPID 853,EPID 710,EPID 851,,,
EPID 883,,,,,
EPID 886,,,,,
EPID 889,EPID 710,,,,
EPID 891,,,,,
EPID 893,,,,,
EPID 894,,,,,
EPID 895,EPID 710,,,,
EPID 897,,,,,
EPID 900,,,,,
EPID 905L,,,,,
EPID 910,,,,,
EPID 992,,,,,
EPID 994,,,,,
