Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5
EXSS 10,,,,,
EXSS 11,,,,,
EXSS 12,,,,,
EXSS 13,EXSS 11,,,,
EXSS 14,,,,,
EXSS 20,,,,,
EXSS 21,,,,,
EXSS 22,,,,,
EXSS 30,,,,,
EXSS 32,,,,,
EXSS 50,,,,,
EXSS 51,,,,,
EXSS 55,,,,,
EXSS 89,,,,,
EXSS 141,,,,,
EXSS 155,,,,,
EXSS 175,,,,,
EXSS 180,,,,,
EXSS 181,,,,,
EXSS 191,,,,,
EXSS 205,,,,,
EXSS 206,,,,,
EXSS 207,,,,,
EXSS 208,,,,,
EXSS 211,,,,,
EXSS 220,,,,,
EXSS 221,,,,,
EXSS 223,,,,,
EXSS 256,EXSS 155,,,,
EXSS 260,,,,,
EXSS 265,EXSS 175,,,,
EXSS 273,,,,,
EXSS 275L,,,,,
EXSS 276,EXSS 175,,,,
EXSS 288,,,,,
EXSS 290,,,,,
EXSS 291,EXSS 191,,,,
EXSS 322,EXSS 221,,,,
EXSS 323,EXSS 221,,,,
EXSS 324,ECON 101,EXSS 221,,,
EXSS 325,,,,,
EXSS 326,EXSS 221,,,,
EXSS 327,STOR 151,STOR 155,,,
EXSS 328,,,,,
EXSS 360,EXSS 276,NUTR 240,,,
EXSS 366,EXSS 265,,,,
EXSS 367,EXSS 175,EXSS 265,EXSS 288,EXSS 366,
EXSS 368,EXSS 175,EXSS 265,EXSS 288,EXSS 366,EXSS 367
EXSS 369,EXSS 175,EXSS 288,,,
EXSS 370,EXSS 175,EXSS 265,EXSS 276,EXSS 288,
EXSS 373,,,,,
EXSS 376,EXSS 175,EXSS 276,,,
EXSS 380,EXSS 175,,,,
EXSS 385,EXSS 175,,,,
EXSS 393,EXSS 175,EXSS 265,EXSS 288,,
EXSS 395,,,,,
EXSS 396,,,,,
EXSS 397,EXSS 181,,,,
EXSS 408,EXSS 175,EXSS 276,,,
EXSS 409,EXSS 175,EXSS 276,EXSS 376,,
EXSS 410,EXSS 175,EXSS 276,EXSS 376,,
EXSS 420,,,,,
EXSS 424,EXSS 221,EXSS 322,,,
EXSS 430,EXSS 221,,,,
EXSS 433L,EXSS 175,EXSS 276,,,
EXSS 450,EXSS 175,EXSS 276,,,
EXSS 475,EXSS 175,EXSS 276,EXSS 385,,
EXSS 478,EXSS 175,EXSS 276,,,
EXSS 479,EXSS 175,EXSS 276,EXSS 366,EXSS 368,
EXSS 493,EXSS 221,EXSS 322,EXSS 323,EXSS 324,EXSS 326
EXSS 576,EXSS 175,EXSS 276,EXSS 376,,
EXSS 580,EXSS 175,EXSS 380,EXSS 385,,
EXSS 593,EXSS 220,EXSS 408,EXSS 410,EXSS 380,EXSS 385
EXSS 693H,EXSS 273,,,,
EXSS 694H,EXSS 273,,,,
EXSS 700,,,,,
EXSS 705,,,,,
EXSS 730,,,,,
EXSS 732,,,,,
EXSS 733,,,,,
EXSS 735,,,,,
EXSS 736,EXSS 730,,,,
EXSS 737,EXSS 730,EXSS 732,EXSS 736,,
EXSS 738,,,,,
EXSS 739,,,,,
EXSS 740,,,,,
EXSS 742,,,,,
EXSS 744,,,,,
EXSS 746,,,,,
EXSS 747,,,,,
EXSS 748,,,,,
EXSS 749,EXSS 740,,,,
EXSS 750,,,,,
EXSS 751,,,,,
EXSS 770,EXSS 380,,,,
EXSS 780,EXSS 276,EXSS 376,,,
EXSS 781,EXSS 376,,,,
EXSS 782,,,,,
EXSS 783,EXSS 780,,,,
EXSS 784,,,,,
EXSS 785,,,,,
EXSS 789,781 780,781  781,,,
EXSS 890,,,,,
EXSS 990,,,,,
EXSS 993,,,,,
