Course Code,Prereq_1
FOLK 77,
FOLK 89,
FOLK 130,
FOLK 202,
FOLK 254,
FOLK 310,
FOLK 334,
FOLK 340,
FOLK 342,
FOLK 370,
FOLK 375,
FOLK 380,
FOLK 424,
FOLK 428,
FOLK 429,
FOLK 455,
FOLK 470,
FOLK 473,
FOLK 476,
FOLK 480,
FOLK 481,
FOLK 484,
FOLK 487,
FOLK 488,
FOLK 490,
FOLK 495,
FOLK 496,
FOLK 502,
FOLK 537,
FOLK 550,
FOLK 560,
FOLK 562,
FOLK 571,
FOLK 587,
FOLK 670,
FOLK 675,
FOLK 688,
FOLK 690,
FOLK 691H,
FOLK 692H,FOLK 691H
FOLK 790,
FOLK 841,
FOLK 842,
FOLK 843,
FOLK 850,
FOLK 860,
FOLK 890,
FOLK 891,
FOLK 895,
FOLK 900,
FOLK 993,
