Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4
FREN 65,,,,
FREN 80,,,,
FREN 101,,,,
FREN 102,FREN 101,,,
FREN 105,,,,
FREN 150,,,,
FREN 186,,,,
FREN 203,FREN 102,FREN 105,FREN 401,
FREN 204,FREN 203,,,
FREN 255,FREN 204,FREN 402,,
FREN 260,FREN 204,FREN 402,,
FREN 262,FREN 204,FREN 402,,
FREN 280,,,,
FREN 285,,,,
FREN 288,,,,
FREN 296,,,,
FREN 300,FREN 204,FREN 402,,
FREN 305,FREN 255,FREN 260,FREN 262,FREN 300
FREN 308,FREN 204,,,
FREN 310,FREN 255,FREN 260,FREN 262,FREN 300
FREN 311,FREN 300,,,
FREN 312,FREN 300,,,
FREN 315,FREN 255,FREN 260,FREN 262,FREN 300
FREN 320,FREN 255,FREN 260,FREN 262,FREN 300
FREN 325,FREN 300,FREN 255,FREN 260,FREN 262
FREN 326,FREN 300,FREN 255,FREN 260,FREN 262
FREN 330,FREN 300,FREN 255,FREN 260,FREN 262
FREN 350,FREN 300,FREN 255,FREN 260,FREN 262
FREN 353,FREN 300,FREN 255,FREN 260,FREN 262
FREN 354,FREN 300,FREN 255,FREN 260,FREN 262
FREN 355,FREN 300,FREN 255,FREN 260,FREN 262
FREN 356,FREN 255,FREN 260,FREN 262,FREN 300
FREN 365,FREN 300,FREN 255,FREN 260,FREN 262
FREN 370,FREN 300,FREN 255,FREN 260,FREN 262
FREN 372,FREN 300,FREN 255,FREN 260,FREN 262
FREN 375,FREN 300,FREN 255,FREN 260,FREN 262
FREN 376,FREN 300,FREN 255,FREN 260,FREN 262
FREN 377,FREN 300,FREN 255,FREN 260,FREN 262
FREN 378,FREN 300,FREN 255,FREN 260,FREN 262
FREN 379,,,,
FREN 383,,,,
FREN 386,,,,
FREN 387,FREN 300,FREN 255,FREN 260,FREN 262
FREN 388,,,,
FREN 389,,,,
FREN 390,FREN 300,FREN 255,FREN 260,FREN 262
FREN 395,FREN 300,FREN 255,FREN 260,FREN 262
FREN 401,,,,
FREN 402,,,,
FREN 403,FREN 300,FREN 255,FREN 260,FREN 262
FREN 421,,,,
FREN 436,FREN 300,FREN 255,FREN 260,FREN 262
FREN 437,FREN 300,FREN 255,FREN 260,FREN 262
FREN 452,,,,
FREN 489,FREN 300,FREN 255,FREN 260,FREN 262
FREN 490,FREN 300,FREN 255,FREN 260,FREN 262
FREN 500,FREN 300,FREN 330,,
FREN 501,,,,
FREN 504,FREN 300,FREN 330,,
FREN 505,FREN 300,FREN 330,,
FREN 513,FREN 300,FREN 330,,
FREN 515,FREN 300,FREN 330,,
FREN 522,FREN 300,FREN 330,,
FREN 530,FREN 300,FREN 330,,
FREN 554,FREN 300,FREN 330,,
FREN 555,FREN 300,FREN 330,,
FREN 561,,,,
FREN 562,,,,
FREN 563,,,,
FREN 564,FREN 300,FREN 330,,
FREN 565,FREN 255,FREN 260,FREN 262,
FREN 566,FREN 300,FREN 330,,
FREN 575,FREN 300,FREN 330,,
FREN 576,FREN 300,FREN 330,,
FREN 583,FREN 300,FREN 330,,
FREN 585,FREN 300,FREN 330,,
FREN 586,,,,
FREN 590,FREN 300,FREN 330,,
FREN 601,,,,
FREN 611,FREN 300,FREN 330,,
FREN 617,FREN 300,FREN 330,,
FREN 670,FREN 300,FREN 330,,
FREN 675,FREN 300,FREN 330,,
FREN 687,FREN 300,FREN 330,,
FREN 690,FREN 300,FREN 370,FREN 372,
FREN 691H,,,,
FREN 692H,,,,
FREN 714,,,,
FREN 726,,,,
FREN 734,,,,
FREN 784,,,,
FREN 789,,,,
FREN 790,,,,
FREN 794,,,,
FREN 795,,,,
FREN 796,,,,
FREN 797,,,,
FREN 840,,,,
FREN 890,,,,
FREN 992,,,,
FREN 993,,,,
FREN 994,,,,
