Course Code,Prereq_1,Prereq_2,Prereq_3
GEOG 50,,,
GEOG 52,,,
GEOG 53,,,
GEOG 54,,,
GEOG 55,,,
GEOG 56,,,
GEOG 58,,,
GEOG 59,,,
GEOG 60,,,
GEOG 61,,,
GEOG 62,,,
GEOG 63,,,
GEOG 64,,,
GEOG 65,,,
GEOG 67,,,
GEOG 68,,,
GEOG 89,,,
GEOG 110,,,
GEOG 111,,,
GEOG 115,,,
GEOG 120,,,
GEOG 121,,,
GEOG 123,,,
GEOG 124,,,
GEOG 125,,,
GEOG 130,,,
GEOG 141,,,
GEOG 210,,,
GEOG 212,,,
GEOG 215,,,
GEOG 222,,,
GEOG 225,,,
GEOG 228,,,
GEOG 230,,,
GEOG 232,,,
GEOG 237,,,
GEOG 240,,,
GEOG 253,MATH 231,CHEM 102,PHYS 114
GEOG 254,,,
GEOG 259,,,
GEOG 260,,,
GEOG 261,,,
GEOG 262,,,
GEOG 263,,,
GEOG 264,ENEC 201,,
GEOG 265,,,
GEOG 266,,,
GEOG 267,,,
GEOG 268,,,
GEOG 269,,,
GEOG 270,,,
GEOG 281,,,
GEOG 293,,,
GEOG 294,,,
GEOG 295,,,
GEOG 296,,,
GEOG 334,,,
GEOG 341,,,
GEOG 370,,,
GEOG 390,,,
GEOG 391,,,
GEOG 392,,,
GEOG 406,,,
GEOG 410,,,
GEOG 412,GEOG 110,GEOG 111,
GEOG 414,,,
GEOG 415,,,
GEOG 416,,,
GEOG 419,,,
GEOG 423,,,
GEOG 424,,,
GEOG 428,,,
GEOG 429,,,
GEOG 430,,,
GEOG 435,,,
GEOG 436,,,
GEOG 437,,,
GEOG 440,GEOG 110,,
GEOG 441,ENEC 202,GEOG 110,
GEOG 442,,,
GEOG 444,,,
GEOG 446,,,
GEOG 447,,,
GEOG 448,,,
GEOG 451,,,
GEOG 452,,,
GEOG 453,,,
GEOG 456,GEOG 370,,
GEOG 457,,,
GEOG 458,GEOG 259,,
GEOG 460,,,
GEOG 464,,,
GEOG 468,,,
GEOG 470,,,
GEOG 477,GEOG 370,,
GEOG 480,,,
GEOG 491,GEOG 370,,
GEOG 492,,,
GEOG 493,,,
GEOG 541,,,
GEOG 542,,,
GEOG 543,,,
GEOG 544,,,
GEOG 555,GEOG 370,,
GEOG 567,GEOG 370,,
GEOG 577,GEOG 370,GEOG 477,
GEOG 591,GEOG 370,GEOG 491,
GEOG 592,GEOG 370,GEOG 491,
GEOG 594,GEOG 370,,
GEOG 597,BIOL 561,STOR 455,
GEOG 598,GEOG 370,GEOG 491,
GEOG 650,,,
GEOG 691H,,,
GEOG 692H,GEOG 691H,,
GEOG 697,,,
GEOG 702,,,
GEOG 703,,,
GEOG 704,,,
GEOG 705,,,
GEOG 706,,,
GEOG 710,,,
GEOG 711,,,
GEOG 715,,,
GEOG 720,,,
GEOG 760,,,
GEOG 790,,,
GEOG 801,,,
GEOG 802,,,
GEOG 803,,,
GEOG 804,,,
GEOG 805,,,
GEOG 811,,,
GEOG 812,,,
GEOG 813,,,
GEOG 814,,,
GEOG 815,,,
GEOG 900,,,
GEOG 993,,,
GEOG 994,,,
