Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5
GEOL 395,,,,,
GEOL 502,GEOG 110,,,,
GEOL 503,,,,,
GEOL 555,BIOL 103,BIOL 104,BIOL 250,BIOL 271,BIOL 555L
GEOL 700,,,,,
GEOL 701,,,,,
GEOL 703,,,,,
GEOL 704,GEOL 703,,,,
GEOL 705,CHEM 102,MATH 233,,,
GEOL 706,GEOL 705,,,,
GEOL 707,,,,,
GEOL 708,,,,,
GEOL 709,,,,,
GEOL 711,,,,,
GEOL 712,CHEM 102,,,,
GEOL 804,,,,,
GEOL 805,,,,,
GEOL 806,,,,,
GEOL 809,MATH 383,PHYS 201,PHYS 211,,
GEOL 851,,,,,
GEOL 852,,,,,
GEOL 853,,,,,
GEOL 854,,,,,
GEOL 855,,,,,
GEOL 856,,,,,
GEOL 857,,,,,
GEOL 858,,,,,
GEOL 859,,,,,
GEOL 860,,,,,
GEOL 861,,,,,
GEOL 862,,,,,
GEOL 863,,,,,
GEOL 864,,,,,
GEOL 900,,,,,
GEOL 993,,,,,
GEOL 994,,,,,
