Course Code,Prereq_1,Prereq_2
GERM 101,,
GERM 102,GERM 101,
GERM 203,GERM 102,
GERM 204,GERM 203,
GERM 210,,
GERM 211,,
GERM 216,,
GERM 220,,
GERM 227,,
GERM 245,,
GERM 247,,
GERM 249,,
GERM 263,,
GERM 265,,
GERM 266,,
GERM 267,,
GERM 268,,
GERM 271,,
GERM 272,,
GERM 278,,
GERM 279,,
GERM 280,,
GERM 281,,
GERM 282,,
GERM 283,,
GERM 284,,
GERM 285,,
GERM 286,,
GERM 290,,
GERM 301,GERM 204,
GERM 302,GERM 204,
GERM 303,GERM 301,GERM 302
GERM 304,GERM 204,
GERM 305,GERM 204,
GERM 306,GERM 303,
GERM 325,GERM 303,
GERM 330,GERM 303,
GERM 349,GERM 303,
GERM 367,GERM 303,
GERM 370,GERM 303,
GERM 371,GERM 303,
GERM 372,GERM 303,
GERM 373,GERM 303,
GERM 374,GERM 303,
GERM 379,GERM 303,
GERM 380,GERM 303,
GERM 381,GERM 303,
GERM 382,,
GERM 383,GERM 303,
GERM 384,GERM 303,
GERM 385,GERM 303,
GERM 386,GERM 303,
GERM 388,GERM 204,
GERM 389,GERM 204,
GERM 390,GERM 303,
GERM 396,GERM 303,
GERM 400,GERM 204,
GERM 450,,
GERM 466,,
GERM 479,,
GERM 493,GERM 303,
GERM 500,GERM 302,GERM 303
GERM 501,GERM 302,GERM 303
GERM 505,,
GERM 508,,
GERM 511,,
GERM 514,,
GERM 515,,
GERM 517,,
GERM 520,GERM 302,GERM 303
GERM 521,GERM 302,GERM 303
GERM 545,GERM 302,GERM 303
GERM 590,GERM 302,GERM 303
GERM 601,,
GERM 602,,
GERM 605,,
GERM 614,,
GERM 615,,
GERM 616,,
GERM 625,,
GERM 630,,
GERM 640,,
GERM 645,,
GERM 650,,
GERM 655,,
GERM 685,,
GERM 700,,
GERM 703,GERM 700,
GERM 706,,
GERM 820,,
GERM 825,,
GERM 830,,
GERM 840,,
GERM 845,,
GERM 850,,
GERM 855,,
GERM 860,,
GERM 861,,
GERM 865,,
GERM 870,,
GERM 875,,
GERM 880,,
GERM 885,,
GERM 889,,
GERM 896,,
GERM 899,,
GERM 980,,
GERM 985,,
GERM 992,,
GERM 994,,
