Course Code,Prereq_1
GLBL 87H,
GLBL 88,
GLBL 89,
GLBL 110,
GLBL 181,
GLBL 193,
GLBL 196,
GLBL 210,
GLBL 221,
GLBL 281,
GLBL 282,
GLBL 290,
GLBL 300,
GLBL 381,
GLBL 382,
GLBL 383,
GLBL 390,
GLBL 394,GLBL 381
GLBL 401,
GLBL 413,GLBL 210
GLBL 415,
GLBL 450,
GLBL 481,
GLBL 482,
GLBL 483,
GLBL 484,
GLBL 485,
GLBL 486,
GLBL 487,
GLBL 489,
GLBL 490,
GLBL 491H,
GLBL 492,
GLBL 691H,
GLBL 692H,
GLBL 700,
GLBL 701,
GLBL 702,
GLBL 703,
GLBL 710,
GLBL 730,
GLBL 750,
GLBL 890,
GLBL 893,
GLBL 896,
GLBL 992,
GLBL 993,
