Course Code,Prereq_1,Prereq_2
GREK 101,,
GREK 102,,
GREK 203,GREK 101,GREK 102
GREK 204,GREK 203,
GREK 205,GREK 203,
GREK 221,GREK 204,GREK 205
GREK 222,GREK 221,
GREK 351,GREK 221,GREK 222
GREK 352,GREK 221,GREK 222
GREK 395,,
GREK 396,GREK 222,
GREK 409,GREK 222,
GREK 710,,
GREK 711,,
GREK 712,,
GREK 713,,
GREK 722,,
GREK 744,,
GREK 750,,
GREK 753,,
GREK 755,,
GREK 757,,
GREK 759,,
GREK 761,,
GREK 763,,
GREK 765,,
GREK 767,,
GREK 769,,
GREK 771,,
GREK 775,,
GREK 841,,
GREK 901,,
GREK 993,,
GREK 994,,
