Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6,Prereq_7
GSLL 50,,,,,,,
GSLL 51,,,,,,,
GSLL 52,,,,,,,
GSLL 53,,,,,,,
GSLL 54,,,,,,,
GSLL 55,,,,,,,
GSLL 56,,,,,,,
GSLL 59,,,,,,,
GSLL 60,,,,,,,
GSLL 63,,,,,,,
GSLL 67,,,,,,,
GSLL 68,,,,,,,
GSLL 69,,,,,,,
GSLL 70,,,,,,,
GSLL 75,,,,,,,
GSLL 76,,,,,,,
GSLL 80,,,,,,,
GSLL 82,,,,,,,
GSLL 83,,,,,,,
GSLL 84,,,,,,,
GSLL 85,,,,,,,
GSLL 87,,,,,,,
GSLL 88H,,,,,,,
GSLL 89,,,,,,,
GSLL 212,,,,,,,
GSLL 218,,,,,,,
GSLL 225,,,,,,,
GSLL 254,,,,,,,
GSLL 255,,,,,,,
GSLL 259,,,,,,,
GSLL 260,,,,,,,
GSLL 268,,,,,,,
GSLL 269,,,,,,,
GSLL 270,,,,,,,
GSLL 271,,,,,,,
GSLL 272,,,,,,,
GSLL 273,,,,,,,
GSLL 274,,,,,,,
GSLL 278,,,,,,,
GSLL 279,,,,,,,
GSLL 280,,,,,,,
GSLL 281,,,,,,,
GSLL 282,,,,,,,
GSLL 283,,,,,,,
GSLL 285,,,,,,,
GSLL 286,,,,,,,
GSLL 287,,,,,,,
GSLL 288,,,,,,,
GSLL 295,,,,,,,
GSLL 465,,,,,,,
GSLL 475,,,,,,,
GSLL 480,,,,,,,
GSLL 481,,,,,,,
GSLL 489,BCS 404,CZCH 404,DTCH 404,GERM 204,HUNG 404,PLSH 404,RUSS 204
GSLL 490,,,,,,,
GSLL 496,,,,,,,
GSLL 560,,,,,,,
GSLL 683,ARTH 159,COMM 140,ENGL 142,,,,
GSLL 691H,,,,,,,
GSLL 692H,,,,,,,
GSLL 693H,,,,,,,
