Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5
HBEH 190,,,,,
HBEH 390,,,,,
HBEH 396,,,,,
HBEH 411,,,,,
HBEH 510,,,,,
HBEH 520,,,,,
HBEH 531,,,,,
HBEH 532,SPHG 352,,,,
HBEH 609,,,,,
HBEH 610,,,,,
HBEH 611,,,,,
HBEH 625,EPID 600,,,,
HBEH 626,,,,,
HBEH 690,,,,,
HBEH 700,,,,,
HBEH 701,,,,,
HBEH 705,,,,,
HBEH 706,,,,,
HBEH 710,,,,,
HBEH 715,,,,,
HBEH 720,,,,,
HBEH 723,,,,,
HBEH 726,,,,,
HBEH 730,,,,,
HBEH 735,,,,,
HBEH 744,,,,,
HBEH 745,HBEH 744,,,,
HBEH 746,,,,,
HBEH 748,,,,,
HBEH 749,,,,,
HBEH 750,,,,,
HBEH 752,,,,,
HBEH 753,HBEH 750,,,,
HBEH 754,HBEH 753,,,,
HBEH 756,,,,,
HBEH 760,,,,,
HBEH 761,,,,,
HBEH 762,HBEH 761,,,,
HBEH 763,HBEH 750,,,,
HBEH 765,,,,,
HBEH 770,,,,,
HBEH 772,SPHG 711,SPHG 712,SPHG 713,HBEH 730,HBEH 750
HBEH 775,,,,,
HBEH 780,,,,,
HBEH 782,MHCH 780,,,,
HBEH 784,,,,,
HBEH 785,,,,,
HBEH 786,,,,,
HBEH 787,HBEH 785,ENVR 795,,,
HBEH 790,,,,,
HBEH 799,,,,,
HBEH 811,,,,,
HBEH 812,,,,,
HBEH 813,,,,,
HBEH 815,,,,,
HBEH 816,,,,,
HBEH 825,HBEH 730,,,,
HBEH 842,,,,,
HBEH 843,,,,,
HBEH 851,,,,,
HBEH 860,,,,,
HBEH 861,,,,,
HBEH 891,,,,,
HBEH 892,,,,,
HBEH 893,,,,,
HBEH 897,,,,,
HBEH 960,,,,,
HBEH 992,,,,,
HBEH 994,,,,,
