Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4
IDST 89,,,,
IDST 101,,,,
IDST 111,IDST 111L,,,
IDST 111L,IDST 111,,,
IDST 112,IDST 112L,,,
IDST 112L,IDST 112,,,
IDST 113,IDST 113L,,,
IDST 113L,IDST 113,,,
IDST 114,IDST 114L,,,
IDST 114L,IDST 114,,,
IDST 115,IDST 115L,,,
IDST 115L,IDST 115,,,
IDST 116,IDST 116L,,,
IDST 116L,IDST 116,,,
IDST 117,IDST 117L,,,
IDST 117L,IDST 117,,,
IDST 118,IDST 118L,,,
IDST 118L,IDST 118,,,
IDST 119,IDST 119L,,,
IDST 119L,IDST 119,,,
IDST 120,IDST 120L,,,
IDST 120L,IDST 120,,,
IDST 121,IDST 121L,,,
IDST 121L,IDST 121,,,
IDST 122,IDST 122L,,,
IDST 122L,IDST 122,,,
IDST 123,IDST 123L,,,
IDST 123L,IDST 123,,,
IDST 124,IDST 124L,,,
IDST 124L,IDST 124,,,
IDST 125,IDST 125L,,,
IDST 125L,IDST 125,,,
IDST 126,IDST 126L,,,
IDST 126L,IDST 126,,,
IDST 127,IDST 127L,,,
IDST 127L,IDST 127,,,
IDST 128,IDST 128L,,,
IDST 128L,IDST 128,,,
IDST 129,IDST 129L,,,
IDST 129L,IDST 129,,,
IDST 130,IDST 130L,,,
IDST 130L,IDST 130,,,
IDST 132,IDST 132L,,,
IDST 132L,IDST 132,,,
IDST 133,IDST 133L,,,
IDST 133L,IDST 133,,,
IDST 180,,,,
IDST 190,IDST 190L,,,
IDST 190L,IDST 116,IDST 118,IDST 119,IDST 190
IDST 195,,,,
IDST 197,,,,
IDST 198,,,,
IDST 199,,,,
IDST 201,,,,
IDST 290,,,,
IDST 293,,,,
IDST 396,,,,
IDST 496,,,,
IDST 691H,,,,
IDST 692H,,,,
IDST 890,,,,
