Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4
INLS 73,,,,
INLS 89,,,,
INLS 151,,,,
INLS 161,,,,
INLS 201,,,,
INLS 202,INLS 201,,,
INLS 203,INLS 201,,,
INLS 318,INLS 382,,,
INLS 382,INLS 161,,,
INLS 384,INLS 201,,,
INLS 385,,,,
INLS 393,,,,
INLS 396,,,,
INLS 418,INLS 382,,,
INLS 465,,,,
INLS 467,INLS 161,,,
INLS 490,,,,
INLS 493,INLS 393,,,
INLS 500,INLS 203,,,
INLS 501,,,,
INLS 509,,,,
INLS 512,COMP 110,COMP 116,COMP 210,COMP 410
INLS 513,,,,
INLS 515,,,,
INLS 520,,,,
INLS 523,,,,
INLS 525,,,,
INLS 530,,,,
INLS 534,,,,
INLS 539,,,,
INLS 540,,,,
INLS 541,,,,
INLS 550,,,,
INLS 551,,,,
INLS 554,,,,
INLS 556,,,,
INLS 558,,,,
INLS 560,,,,
INLS 561,,,,
INLS 570,COMP 110,COMP 116,INLS 560,
INLS 572,,,,
INLS 573,INLS 161,,,
INLS 576,INLS 161,,,
INLS 578,INLS 161,,,
INLS 581,,,,
INLS 582,INLS 382,,,
INLS 584,,,,
INLS 585,,,,
INLS 586,,,,
INLS 609,INLS 509,,,
INLS 613,,,,
INLS 620,INLS 520,INLS 560,,
INLS 621,,,,
INLS 623,INLS 382,INLS 582,INLS 523,
INLS 624,COMP 110,COMP 116,,
INLS 625,INLS 560,,,
INLS 641,,,,
INLS 651,,,,
INLS 660,,,,
INLS 672,INLS 572,,,
INLS 685,,,,
INLS 690,,,,
INLS 691H,,,,
INLS 692H,,,,
INLS 696,,,,
INLS 697,,,,
INLS 700,,,,
INLS 701,INLS 501,INLS 509,,
INLS 702,INLS 501,,,
INLS 703,INLS 501,,,
INLS 704,INLS 501,,,
INLS 705,INLS 501,,,
INLS 706,,,,
INLS 707,,,,
INLS 708,INLS 501,,,
INLS 709,INLS 501,,,
INLS 710,,,,
INLS 711,,,,
INLS 712,,,,
INLS 714,,,,
INLS 718,INLS 582,,,
INLS 719,INLS 382,INLS 582,,
INLS 720,INLS 509,INLS 520,,
INLS 721,,,,
INLS 722,,,,
INLS 723,INLS 623,,,
INLS 724,,,,
INLS 726,INLS 523,,,
INLS 728,INLS 509,INLS 520,,
INLS 732,,,,
INLS 733,,,,
INLS 735,,,,
INLS 737,,,,
INLS 739,,,,
INLS 740,,,,
INLS 746,,,,
INLS 747,INLS 585,,,
INLS 748,INLS 501,INLS 585,,
INLS 749,INLS 520,,,
INLS 750,,,,
INLS 751,,,,
INLS 752,,,,
INLS 753,,,,
INLS 754,INLS 501,,,
INLS 755,INLS 556,,,
INLS 757,INLS 556,,,
INLS 758,,,,
INLS 760,INLS 572,INLS 623,,
INLS 761,COMP 110,INLS 560,,
INLS 765,,,,
INLS 766,,,,
INLS 767,,,,
INLS 772,COMP 110,INLS 560,INLS 761,INLS 773
INLS 773,,,,
INLS 774,,,,
INLS 775,,,,
INLS 776,,,,
INLS 777,,,,
INLS 778,INLS 776,INLS 777,,
INLS 779,INLS 776,INLS 777,,
INLS 781,INLS 581,,,
INLS 782,,,,
INLS 783,,,,
INLS 784,INLS 384,,,
INLS 785,INLS 585,,,
INLS 786,,,,
INLS 787,,,,
INLS 789,,,,
INLS 792,,,,
INLS 794,,,,
INLS 795,,,,
INLS 796,,,,
INLS 797,INLS 795,,,
INLS 800,,,,
INLS 818,INLS 718,,,
INLS 841,INLS 585,,,
INLS 842,,,,
INLS 843,,,,
INLS 857,,,,
INLS 873,,,,
INLS 881,,,,
INLS 882,,,,
INLS 883,,,,
INLS 884,,,,
INLS 886,,,,
INLS 887,,,,
INLS 888,,,,
INLS 889,INLS 888,,,
INLS 890,,,,
INLS 988,,,,
INLS 992,INLS 781,INLS 778,INLS 779,
INLS 994,,,,
