Course Code,Prereq_1,Prereq_2
ITAL 51,,
ITAL 101,,
ITAL 102,ITAL 101,
ITAL 130,,
ITAL 203,ITAL 102,ITAL 401
ITAL 204,ITAL 203,
ITAL 241,,
ITAL 242,,
ITAL 250,,
ITAL 258,,
ITAL 296,,
ITAL 300,ITAL 204,ITAL 402
ITAL 308,ITAL 203,
ITAL 310,ITAL 204,ITAL 402
ITAL 320,ITAL 204,ITAL 402
ITAL 330,ITAL 204,ITAL 402
ITAL 331,ITAL 204,ITAL 402
ITAL 333,,
ITAL 335,,
ITAL 337,ITAL 300,
ITAL 340,,
ITAL 343,,
ITAL 345,,
ITAL 346,ITAL 204,ITAL 402
ITAL 357,,
ITAL 359,,
ITAL 365,ITAL 204,ITAL 402
ITAL 372,ITAL 204,ITAL 402
ITAL 374,,
ITAL 382,ITAL 204,ITAL 402
ITAL 385,,
ITAL 388,ITAL 204,
ITAL 395,ITAL 300,
ITAL 396,,
ITAL 398,,
ITAL 401,,
ITAL 402,ITAL 102,ITAL 401
ITAL 525,,
ITAL 526,ITAL 204,ITAL 402
ITAL 571,,
ITAL 691H,,
ITAL 692H,,
ITAL 706,,
ITAL 731,,
ITAL 732,,
ITAL 734,,
ITAL 735,,
ITAL 741,ITAL 204,ITAL 402
ITAL 751,ITAL 204,ITAL 402
ITAL 771,ITAL 204,ITAL 402
ITAL 781,ITAL 204,ITAL 402
ITAL 782,ITAL 204,ITAL 402
ITAL 784,ITAL 204,ITAL 402
ITAL 795,ITAL 204,ITAL 402
ITAL 796,,
ITAL 830,,
ITAL 840,,
ITAL 992,,
ITAL 993,,
ITAL 994,,
