Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6,Prereq_7,Prereq_8,Prereq_9,Prereq_10
JAPN 101,,,,,,,,,,
JAPN 102,JAPN 101,,,,,,,,,
JAPN 160,,,,,,,,,,
JAPN 162,,,,,,,,,,
JAPN 203,JAPN 102,,,,,,,,,
JAPN 204,JAPN 203,,,,,,,,,
JAPN 231,,,,,,,,,,
JAPN 246,,,,,,,,,,
JAPN 277,,,,,,,,,,
JAPN 305,JAPN 204,,,,,,,,,
JAPN 306,JAPN 305,,,,,,,,,
JAPN 375,,,,,,,,,,
JAPN 401,JAPN 306,,,,,,,,,
JAPN 408,JAPN 306,,,,,,,,,
JAPN 410,JAPN 306,,,,,,,,,
JAPN 411,JAPN 306,,,,,,,,,
JAPN 412,JAPN 306,,,,,,,,,
JAPN 414,JAPN 306,,,,,,,,,
JAPN 415,JAPN 306,,,,,,,,,
JAPN 416,JAPN 306,,,,,,,,,
JAPN 417,JAPN 306,,,,,,,,,
JAPN 418,JAPN 306,,,,,,,,,
JAPN 451,,,,,,,,,,
JAPN 482,,,,,,,,,,
JAPN 490,JAPN 306,,,,,,,,,
JAPN 496,,,,,,,,,,
JAPN 521,JAPN 401,JAPN 408,JAPN 410,JAPN 411,JAPN 412,JAPN 414,JAPN 415,JAPN 416,JAPN 417,JAPN 490
JAPN 563,JAPN 102,LING 101,,,,,,,,
JAPN 590,JAPN 306,,,,,,,,,
