Course Code,Prereq_1
JWST 56,
JWST 60,
JWST 89,
JWST 100,
JWST 101,
JWST 102,HEBR 101
JWST 103,
JWST 106,
JWST 107,
JWST 110,
JWST 143,
JWST 153,
JWST 203,HEBR 102
JWST 204,HEBR 203
JWST 206,
JWST 211,
JWST 212,RELI 211
JWST 224,
JWST 225,
JWST 235,
JWST 239,
JWST 243,
JWST 253,
JWST 262,
JWST 268,
JWST 269,
JWST 274,
JWST 289,
JWST 305,HEBR 204
JWST 306,HEBR 204
JWST 308,
JWST 330,
JWST 343,
JWST 358,
JWST 360,
JWST 380,
JWST 390,
JWST 412,
JWST 420,
JWST 425,
JWST 436,
JWST 444,
JWST 462,
JWST 464,
JWST 465,
JWST 466,
JWST 469,
JWST 476,
JWST 480,
JWST 481,
JWST 485,
JWST 486,
JWST 503,
JWST 512,
JWST 533,
JWST 602,
JWST 697,
