Course Code,Prereq_1,Prereq_2
LATN 101,,
LATN 102,,
LATN 203,,
LATN 204,LATN 203,
LATN 205,LATN 203,
LATN 221,LATN 204,LATN 205
LATN 222,LATN 204,LATN 205
LATN 223,LATN 204,LATN 205
LATN 224,LATN 204,LATN 205
LATN 331,,
LATN 332,,
LATN 333,,
LATN 334,,
LATN 335,,
LATN 351,,
LATN 352,,
LATN 353,,
LATN 354,,
LATN 395,,
LATN 396,LATN 221,
LATN 601,,
LATN 602,,
LATN 710,,
LATN 711,,
LATN 712,,
LATN 713,,
LATN 714,,
LATN 722,,
LATN 723,,
LATN 724,,
LATN 725,,
LATN 726,,
LATN 730,,
LATN 753,,
LATN 762,,
LATN 764,,
LATN 765,,
LATN 766,,
LATN 767,,
LATN 768,,
LATN 770,,
LATN 771,,
LATN 772,,
LATN 773,,
LATN 774,,
LATN 775,,
LATN 776,,
LATN 780,,
LATN 784,,
LATN 841,,
LATN 901,,
LATN 993,,
LATN 994,,
