Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4
LING 60,,,,
LING 70,,,,
LING 89,,,,
LING 101,,,,
LING 138,,,,
LING 145,,,,
LING 165,,,,
LING 200,LING 101,,,
LING 201,LING 101,,,
LING 202,LING 101,,,
LING 203,LING 101,,,
LING 225,,,,
LING 230,LING 101,,,
LING 260,,,,
LING 290,LING 101,,,
LING 302,,,,
LING 303,,,,
LING 304,LING 101,,,
LING 305,LING 101,,,
LING 333,,,,
LING 335,,,,
LING 360,SPAN 300,SPAN 301,,
LING 376,SPAN 300,SPAN 301,,
LING 383,,,,
LING 395,,,,
LING 397,SPAN 360,SPAN 376,,
LING 401,LING 101,,,
LING 409,,,,
LING 410,,,,
LING 422,LING 200,LING 520,LING 523,SPHS 540
LING 427,LING 101,,,
LING 428,LING 101,,,
LING 444,LING 101,,,
LING 445,,,,
LING 458,LING 101,,,
LING 460,,,,
LING 484,,,,
LING 490,,,,
LING 493,,,,
LING 495,,,,
LING 496,,,,
LING 503,SPHS 402,,,
LING 520,,,,
LING 522,LING 520,LING 200,LING 523,
LING 523,LING 520,SPHS 530,SPHS 540,
LING 524,LING 200,LING 523,,
LING 525,,,,
LING 526,LING 101,,,
LING 528,,,,
LING 529,LING 203,LING 528,LING 201,LING 530
LING 530,,,,
LING 533,LING 530,,,
LING 537,LING 101,,,
LING 538,LING 537,,,
LING 539,LING 101,,,
LING 540,LING 101,,,
LING 541,LING 101,,,
LING 542,LING 101,,,
LING 543,,,,
LING 545,ENGL 213,LING 101,PHIL 145,
LING 547,LING 101,,,
LING 550,,,,
LING 551,LING 550,,,
LING 558,,,,
LING 560,,,,
LING 561,LING 101,,,
LING 562,LING 101,RUSS 102,,
LING 563,JAPN 102,LING 101,,
LING 564,FREN 300,FREN 330,,
LING 565,FREN 255,FREN 260,FREN 262,
LING 566,FREN 300,FREN 330,,
LING 567,GERM 302,GERM 303,,
LING 573,LING 101,LING 200,LING 376,LING 422
LING 574,,,,
LING 578,FREN 300,ITAL 300,PORT 310,SPAN 300
LING 583,LING 101,,,
LING 676,SPAN 376,,,
LING 678,SPAN 360,,,
LING 681,SPAN 360,,,
LING 691H,,,,
LING 692H,,,,
LING 700,,,,
LING 712,,,,
LING 715,LING 524,,,
LING 716,LING 533,,,
LING 723,,,,
LING 730,,,,
LING 790,,,,
LING 794,,,,
LING 814,,,,
LING 860,,,,
LING 861,,,,
LING 862,,,,
LING 893,,,,
LING 897,,,,
LING 992,,,,
LING 993,,,,
LING 994,,,,
