Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5
MASC 440,BIOL 201,BIOL 475,BIOL 103,BIOL 104,BIOL 260
MASC 473,,,,,
MASC 705,,,,,
MASC 706,MASC 705,,,,
MASC 741,,,,,
MASC 742,BIOL 471,,,,
MASC 750,,,,,
MASC 761,MATH 528,,,,
MASC 762,MATH 529,,,,
MASC 763,,,,,
MASC 764,MATH 529,,,,
MASC 765,,,,,
MASC 781,MATH 661,MATH 662,,,
MASC 782,MATH 761,,,,
MASC 783,MATH 661,MATH 662,MATH 668,MATH 669,
MASC 784,MATH 661,MATH 662,MATH 668,MATH 669,
MASC 799,,,,,
MASC 893,,,,,
MASC 894,,,,,
MASC 895,,,,,
MASC 896,,,,,
MASC 897,,,,,
MASC 940,,,,,
MASC 993,,,,,
MASC 994,,,,,
