Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6,Prereq_7,Prereq_8,Prereq_9,Prereq_10
MATH 10,,,,,,,,,,
MATH 51,,,,,,,,,,
MATH 62,,,,,,,,,,
MATH 65,,,,,,,,,,
MATH 68,,,,,,,,,,
MATH 69,,,,,,,,,,
MATH 70,,,,,,,,,,
MATH 89,,,,,,,,,,
MATH 110,,,,,,,,,,
MATH 110L,MATH 110,,,,,,,,,
MATH 115,,,,,,,,,,
MATH 116,,,,,,,,,,
MATH 117,,,,,,,,,,
MATH 118,,,,,,,,,,
MATH 119,,,,,,,,,,
MATH 129P,,,,,,,,,,
MATH 130,MATH 110,,,,,,,,,
MATH 152,MATH 110,,,,,,,,,
MATH 190,,,,,,,,,,
MATH 210,MATH 110,,,,,,,,,
MATH 231,MATH 110,MATH 130,MATH 130,,,,,,,
MATH 231L,MATH 110,MATH 130,MATH 130,MATH 231,,,,,,
MATH 232,MATH 231,,,,,,,,,
MATH 233,MATH 232,,,,,,,,,
MATH 235,MATH 231,MATH 232,,,,,,,,
MATH 290,,,,,,,,,,
MATH 294,,,,,,,,,,
MATH 296,,,,,,,,,,
MATH 307,,,,,,,,,,
MATH 347,MATH 232,,,,,,,,,
MATH 381,MATH 232,,,,,,,,,
MATH 383,MATH 233,,,,,,,,,
MATH 383L,MATH 233,MATH 383,,,,,,,,
MATH 396,,,,,,,,,,
MATH 406,MATH 232,,,,,,,,,
MATH 410,,,,,,,,,,
MATH 411,,,,,,,,,,
MATH 418,MATH 233,MATH 381,,,,,,,,
MATH 521,MATH 233,MATH 381,STOR 215,MATH 381,,,,,,
MATH 522,MATH 383,MATH 521,,,,,,,,
MATH 523,MATH 383,,,,,,,,,
MATH 524,MATH 383,,,,,,,,,
MATH 528,MATH 383,,,,,,,,,
MATH 528L,MATH 383,MATH 528,,,,,,,,
MATH 529,MATH 521,MATH 524,MATH 528,,,,,,,
MATH 529L,MATH 383,MATH 529,,,,,,,,
MATH 533,MATH 381,STOR 215,MATH 381,,,,,,,
MATH 534,MATH 381,STOR 215,MATH 381,,,,,,,
MATH 535,STOR 235,MATH 233,STOR 215,MATH 381,COMP 283,,,,,
MATH 548,MATH 381,,,,,,,,,
MATH 550,MATH 233,MATH 381,,,,,,,,
MATH 551,MATH 381,STOR 215,MATH 381,,,,,,,
MATH 553,BIOL 201,BIOL 202,BIOL 103,BIOL 104,MATH 231,MATH 232,STOR 120,STOR 155,BIOL 553L,MATH 553L
MATH 553L,BIOL 201,BIOL 202,BIOL 103,BIOL 104,MATH 231,MATH 232,STOR 120,STOR 155,BIOL 553,MATH 553
MATH 555,MATH 383,,,,,,,,,
MATH 560,MATH 233,MATH 347,COMP 110,COMP 116,,,,,,
MATH 563,MATH 528,,,,,,,,,
MATH 564,MATH 383,MATH 347,,,,,,,,
MATH 566,MATH 383,MATH 347,,,,,,,,
MATH 577,MATH 381,MATH 383,STOR 215,MATH 381,,,,,,
MATH 578,MATH 347,MATH 577,,,,,,,,
MATH 590,,,,,,,,,,
MATH 594,MATH 383,,,,,,,,,
MATH 635,STOR 634,,,,,,,,,
MATH 641,MATH 578,,,,,,,,,
MATH 643,MATH 578,,,,,,,,,
MATH 653,,,,,,,,,,
MATH 656,MATH 653,,,,,,,,,
MATH 657,MATH 653,,,,,,,,,
MATH 661,,,,,,,,,,
MATH 662,MATH 661,,,,,,,,,
MATH 668,,,,,,,,,,
MATH 669,MATH 668,,,,,,,,,
MATH 676,,,,,,,,,,
MATH 677,MATH 676,,,,,,,,,
MATH 680,MATH 681,,,,,,,,,
MATH 681,,,,,,,,,,
MATH 690,,,,,,,,,,
MATH 691H,,,,,,,,,,
MATH 692H,,,,,,,,,,
MATH 751,MATH 653,,,,,,,,,
MATH 753,MATH 653,,,,,,,,,
MATH 754,MATH 753,,,,,,,,,
MATH 755,MATH 656,,,,,,,,,
MATH 756,MATH 656,,,,,,,,,
MATH 761,MATH 661,MATH 662,,,,,,,,
MATH 762,MATH 761,,,,,,,,,
MATH 768,MATH 661,MATH 662,MATH 668,MATH 669,,,,,,
MATH 769,MATH 661,MATH 662,MATH 668,MATH 669,,,,,,
MATH 771,MATH 677,,,,,,,,,
MATH 773,MATH 676,,,,,,,,,
MATH 774,MATH 676,,,,,,,,,
MATH 775,MATH 771,,,,,,,,,
MATH 776,MATH 676,MATH 681,,,,,,,,
MATH 782,,,,,,,,,,
MATH 853,,,,,,,,,,
MATH 854,,,,,,,,,,
MATH 857,,,,,,,,,,
MATH 891,,,,,,,,,,
MATH 892,MATH 661,MATH 662,,,,,,,,
MATH 893,MATH 677,,,,,,,,,
MATH 894,MATH 641,,,,,,,,,
MATH 895,,,,,,,,,,
MATH 896,MATH 776,,,,,,,,,
MATH 920,,,,,,,,,,
MATH 921,,,,,,,,,,
MATH 925,,,,,,,,,,
MATH 992,,,,,,,,,,
MATH 993,,,,,,,,,,
MATH 994,,,,,,,,,,
