Course Code,Prereq_1,Prereq_2
MEJO 89,,
MEJO 100,,
MEJO 101,,
MEJO 102,,
MEJO 121,,
MEJO 129,,
MEJO 137,,
MEJO 141,,
MEJO 142,,
MEJO 153,,
MEJO 180,,
MEJO 182,,
MEJO 187,,
MEJO 240,,
MEJO 242,,
MEJO 244,MEJO 153,
MEJO 245,,
MEJO 252,,
MEJO 253,MEJO 153,
MEJO 332,MEJO 137,MEJO 153
MEJO 333,MEJO 121,
MEJO 334,,
MEJO 340,MEJO 153,
MEJO 341,MEJO 153,
MEJO 342,,
MEJO 349,,
MEJO 352,,
MEJO 353,,
MEJO 356,MEJO 153,
MEJO 358,MEJO 153,
MEJO 371,MEJO 137,
MEJO 372,MEJO 137,
MEJO 373,,
MEJO 374,,
MEJO 376,,
MEJO 377,,
MEJO 379,,
MEJO 390,,
MEJO 393,MEJO 153,
MEJO 421,MEJO 121,MEJO 252
MEJO 424,,
MEJO 425,,
MEJO 426,MEJO 252,
MEJO 430,,
MEJO 432,,
MEJO 433,,
MEJO 435,MEJO 137,
MEJO 437,MEJO 137,MEJO 153
MEJO 438,,
MEJO 439,,
MEJO 440,MEJO 340,
MEJO 441,,
MEJO 442,,
MEJO 443,,
MEJO 445,,
MEJO 446,,
MEJO 447,MEJO 137,MEJO 153
MEJO 448,,
MEJO 449,,
MEJO 454,MEJO 153,MEJO 356
MEJO 455,,
MEJO 458,,
MEJO 459,MEJO 153,
MEJO 463,,
MEJO 469,,
MEJO 471,,
MEJO 475,,
MEJO 476,,
MEJO 477,,
MEJO 478,MEJO 137,
MEJO 479,,
MEJO 482,MEJO 182,
MEJO 484,MEJO 182,
MEJO 485,MEJO 182,MEJO 153
MEJO 487,MEJO 187,
MEJO 488,,
MEJO 489,MEJO 180,
MEJO 490,,
MEJO 500,,
MEJO 522,MEJO 421,
MEJO 523,,
MEJO 530,,
MEJO 531,MEJO 137,
MEJO 532,,
MEJO 533,MEJO 137,
MEJO 537,,
MEJO 541,MEJO 153,
MEJO 542,MEJO 153,
MEJO 544,,
MEJO 550,,
MEJO 553,MEJO 153,MEJO 253
MEJO 557,MEJO 153,
MEJO 560,,
MEJO 561,,
MEJO 562,,
MEJO 564,MEJO 153,
MEJO 565,,
MEJO 569,,
MEJO 570,,
MEJO 571,,
MEJO 572,,
MEJO 577,MEJO 477,
MEJO 580,,
MEJO 581,,
MEJO 582,MEJO 121,MEJO 180
MEJO 583,MEJO 487,
MEJO 584,,
MEJO 585,,
MEJO 588,,
MEJO 589,MEJO 182,
MEJO 591,,
MEJO 592,,
MEJO 596,,
MEJO 602,,
MEJO 603,,
MEJO 604,,
MEJO 605,,
MEJO 625,,
MEJO 630,,
MEJO 631,,
MEJO 634,MEJO 332,MEJO 379
MEJO 652,,
MEJO 653,652 475,652  652
MEJO 656,MEJO 153,MEJO 356
MEJO 670,MEJO 379,
MEJO 671,,
MEJO 673,MEJO 371,MEJO 372
MEJO 674,,
MEJO 681,MEJO 580,
MEJO 683,MEJO 482,
MEJO 690,,
MEJO 691H,,
MEJO 692H,,
MEJO 701,,
MEJO 702,,
MEJO 703,,
MEJO 704,MEJO 701,
MEJO 705,,
MEJO 710,,
MEJO 711,,
MEJO 713,,
MEJO 717,,
MEJO 719,,
MEJO 720,,
MEJO 721,,
MEJO 722,,
MEJO 723,,
MEJO 724,,
MEJO 725,,
MEJO 730,,
MEJO 732,MEJO 730,
MEJO 740,,
MEJO 741,,
MEJO 742,,
MEJO 743,,
MEJO 750,,
MEJO 751,,
MEJO 752,,
MEJO 753,,
MEJO 754,,
MEJO 755,,
MEJO 756,,
MEJO 758,,
MEJO 759,,
MEJO 780,,
MEJO 782,,
MEJO 790,,
MEJO 793,,
MEJO 801,,
MEJO 810,,
MEJO 811,,
MEJO 825,HBEH 730,
MEJO 830,,
MEJO 840,MEJO 740,
MEJO 841,,
MEJO 842,,
MEJO 843,,
MEJO 846,MEJO 446,
MEJO 847,,
MEJO 850,,
MEJO 851,,
MEJO 860,,
MEJO 861,,
MEJO 862,,
MEJO 863,,
MEJO 870,,
MEJO 879,,
MEJO 890,,
MEJO 900,,
MEJO 992,,
MEJO 993,,
MEJO 994,,
