Course Code,Prereq_1,Prereq_2
MHCH 605,,
MHCH 610,,
MHCH 611,NUTR 240,
MHCH 625,EPID 600,
MHCH 626,,
MHCH 664,,
MHCH 665,,
MHCH 680,,
MHCH 685,,
MHCH 690,,
MHCH 701,,
MHCH 702,MHCH 701,
MHCH 704,,
MHCH 710,,
MHCH 713,,
MHCH 713L,MHCH 713,
MHCH 716,,
MHCH 720,,
MHCH 722,,
MHCH 723,,
MHCH 724,,
MHCH 726,,
MHCH 728,,
MHCH 729,MHCH 728,
MHCH 732,,
MHCH 740,,
MHCH 745,,
MHCH 765,,
MHCH 766,MHCH 765,
MHCH 775,,
MHCH 780,,
MHCH 785,,
MHCH 801,MHCH 701,MHCH 702
MHCH 840,,
MHCH 841,,
MHCH 851,BIOS 600,EPID 600
MHCH 853,EPID 710,EPID 851
MHCH 859,,
MHCH 860,MHCH 859,
MHCH 862,,
MHCH 890,,
MHCH 992,,
MHCH 994,,
