Course Code,Prereq_1,Prereq_2
NBIO 411,,
NBIO 412,,
NBIO 450,,
NBIO 701A,,
NBIO 702A,,
NBIO 703,,
NBIO 704,,
NBIO 705,PSYC 404,
NBIO 708,,
NBIO 710,,
NBIO 721,,
NBIO 722,,
NBIO 722A,,
NBIO 722B,,
NBIO 723,,
NBIO 724,NBIO 722,
NBIO 725,,
NBIO 727,,
NBIO 728,722 722,
NBIO 729,NBIO 722,NBIO 733
NBIO 731,,
NBIO 732,,
NBIO 733,NBIO 722,NBIO 723
NBIO 735,,
NBIO 750,NBIO 722,NBIO 723
NBIO 751,,
NBIO 800,,
NBIO 801,,
NBIO 850,,
NBIO 857,,
NBIO 858,BIOL 451,
NBIO 890,,
NBIO 892,,
NBIO 893,,
NBIO 951,,
NBIO 993,,
NBIO 994,,
