Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5
NSCI 61,,,,,
NSCI 71,,,,,
NSCI 89,,,,,
NSCI 175,,,,,
NSCI 190,,,,,
NSCI 221,NSCI 175,PSYC 101,PSYC 220,,
NSCI 222,NSCI 175,PSYC 101,,,
NSCI 225,NSCI 175,PSYC 101,,,
NSCI 274,NSCI 175,COMP 110,COMP 116,,
NSCI 276,NSCI 175,PSYC 210,STOR 155,,
NSCI 277,NSCI 175,PSYC 210,STOR 155,,
NSCI 278,NSCI 175,PSYC 210,STOR 155,,
NSCI 279,NSCI 175,PSYC 210,STOR 155,,
NSCI 290,NSCI 175,,,,
NSCI 294,NSCI 175,,,,
NSCI 325,NSCI 175,PSYC 101,PSYC 220,,
NSCI 326,NSCI 175,,,,
NSCI 390,NSCI 175,,,,
NSCI 395,NSCI 175,,,,
NSCI 405,NSCI 175,PSYC 101,PSYC 220,NSCI 221,
NSCI 415,NSCI 175,PSYC 101,PSYC 220,,
NSCI 418,NSCI 175,PSYC 101,PSYC 220,,
NSCI 419,NSCI 175,PSYC 220,,,
NSCI 420,NSCI 175,PSYC 101,PSYC 220,EXSS 175,
NSCI 421,NSCI 175,PSYC 101,PSYC 220,BIOL 101,
NSCI 422,NSCI 175,PSYC 101,PSYC 220,,
NSCI 423,NSCI 175,PSYC 101,PSYC 220,,
NSCI 424,NSCI 175,PSYC 101,PSYC 220,,
NSCI 427,NSCI 175,PSYC 101,PSYC 220,,
NSCI 428,NSCI 175,PSYC 101,PSYC 220,,
NSCI 434,NSCI 175,NSCI 222,NSCI 225,PSYC 220,PSYC 230
NSCI 437,NSCI 175,PSYC 101,PSYC 220,BIOL 101,
NSCI 439,NSCI 175,PSYC 220,,,
NSCI 490,NSCI 175,,,,
NSCI 493,NSCI 175,,,,
NSCI 507,NSCI 175,PSYC 101,,,
NSCI 568,NSCI 175,PSYC 101,,,
NSCI 573,PSYC 210,PSYC 270,NSCI 175,PSYC 101,PSYC 220
NSCI 693H,NSCI 395,NSCI 693H,,,
NSCI 694H,NSCI 693H,NSCI 395,NSCI 694H,,
