Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6,Prereq_7,Prereq_8,Prereq_9
NURS 301,,,,,,,,,
NURS 302,,,,,,,,,
NURS 310,NURS 330,NURS 351,,,,,,,
NURS 311,NURS 310,NURS 330,NURS 352,,,,,,
NURS 320,,,,,,,,,
NURS 321,NURS 320,,,,,,,,
NURS 330,NURS 310,NURS 351,,,,,,,
NURS 351,NURS 330,,,,,,,,
NURS 352,NURS 351,,,,,,,,
NURS 365,,,,,,,,,
NURS 384,,,,,,,,,
NURS 401,,,,,,,,,
NURS 402,,,,,,,,,
NURS 410,NURS 310,NURS 311,NURS 352,NURS 484,,,,,
NURS 411,NURS 310,NURS 311,NURS 352,NURS 410,NURS 697,,,,
NURS 430,NURS 310,NURS 311,NURS 330,NURS 352,,,,,
NURS 461I,,,,,,,,,
NURS 481,NURS 330,NURS 351,NURS 311,NURS 352,,,,,
NURS 482,NURS 351,NURS 330,NURS 311,NURS 352,,,,,
NURS 483,NURS 311,NURS 330,NURS 352,NURS 430,,,,,
NURS 484,NURS 311,NURS 330,NURS 352,NURS 410,,,,,
NURS 496,,,,,,,,,
NURS 497,,,,,,,,,
NURS 510,NURS 430,,,,,,,,
NURS 512,NURS 301,NURS 330,NURS 352,,,,,,
NURS 514,NURS 483,,,,,,,,
NURS 600,,,,,,,,,
NURS 601,,,,,,,,,
NURS 607I,,,,,,,,,
NURS 609,NURS 320,,,,,,,,
NURS 610,,,,,,,,,
NURS 611,,,,,,,,,
NURS 613I,,,,,,,,,
NURS 615I,,,,,,,,,
NURS 616,NURS 430,,,,,,,,
NURS 620,,,,,,,,,
NURS 625,,,,,,,,,
NURS 671,,,,,,,,,
NURS 675,,,,,,,,,
NURS 680,,,,,,,,,
NURS 685I,,,,,,,,,
NURS 691H,,,,,,,,,
NURS 692H,,,,,,,,,
NURS 697,NURS 330,NURS 430,NURS 481,NURS 482,NURS 483,NURS 402,NURS 411,,
NURS 703I,,,,,,,,,
NURS 704,,,,,,,,,
NURS 710,,,,,,,,,
NURS 715,NURS 750,NURS 752,,,,,,,
NURS 720,NURS 715,,,,,,,,
NURS 721,NURS 715,NURS 720,,,,,,,
NURS 722,NURS 715,NURS 726,NURS 727,NURS 720,,,,,
NURS 723,NURS 715,NURS 720,NURS 750,NURS 752,NURS 860,,,,
NURS 725,NURS 710,,,,,,,,
NURS 726,NURS 715,,,,,,,,
NURS 727,NURS 715,NURS 726,,,,,,,
NURS 730,,,,,,,,,
NURS 740,,,,,,,,,
NURS 746,,,,,,,,,
NURS 750,NURS 715,,,,,,,,
NURS 752,NURS 750,NURS 715,,,,,,,
NURS 776,,,,,,,,,
NURS 777,,,,,,,,,
NURS 778,,,,,,,,,
NURS 779,NURS 778,,,,,,,,
NURS 780I,,,,,,,,,
NURS 781I,,,,,,,,,
NURS 786,,,,,,,,,
NURS 787,,,,,,,,,
NURS 788,NURS 715,NURS 720,,,,,,,
NURS 789,,,,,,,,,
NURS 790I,,,,,,,,,
NURS 799,,,,,,,,,
NURS 810,NURS 715,NURS 720,NURS 750,NURS 752,NURS 720,,,,
NURS 811,NURS 715,NURS 720,NURS 726,NURS 810,,,,,
NURS 812,NURS 715,NURS 720,NURS 750,NURS 752,NURS 819,NURS 824,NURS 825,,
NURS 815,NURS 810,NURS 840,NURS 860,,,,,,
NURS 819,NURS 715,NURS 720,NURS 750,NURS 752,NURS 810,NURS 825,,,
NURS 820,NURS 788,NURS 789,NURS 821,,,,,,
NURS 821,NURS 788,NURS 789,NURS 820,,,,,,
NURS 823,NURS 715,NURS 720,NURS 750,NURS 752,NURS 810,NURS 812,NURS 824,,
NURS 824,NURS 715,NURS 720,NURS 750,NURS 752,NURS 810,NURS 819,NURS 825,,
NURS 825,NURS 715,NURS 720,NURS 750,NURS 819,,,,,
NURS 826,,,,,,,,,
NURS 827,NURS 715,NURS 720,NURS 750,NURS 752,NURS 810,,,,
NURS 828,NURS 715,NURS 720,NURS 750,NURS 752,NURS 810,NURS 825,NURS 827,,
NURS 830,NURS 831,,,,,,,,
NURS 831,NURS 830,,,,,,,,
NURS 832,NURS 830,NURS 831,,,,,,,
NURS 833,NURS 830,NURS 831,NURS 832,NURS 834,,,,,
NURS 834,NURS 830,NURS 831,NURS 832,NURS 833,,,,,
NURS 835,,,,,,,,,
NURS 838,NURS 715,NURS 726,NURS 810,NURS 825,NURS 833,,,,
