Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6,Prereq_7
NUTR 175,,,,,,,
NUTR 240,BIOL 101,BIOL 101L,CHEM 102,CHEM 102L,,,
NUTR 245,,,,,,,
NUTR 295,,,,,,,
NUTR 400,BIOL 101,CHEM 101,CHEM 102,NUTR 240,,,
NUTR 405,,,,,,,
NUTR 470,,,,,,,
NUTR 600,NUTR 400,,,,,,
NUTR 611,NUTR 240,,,,,,
NUTR 620,NUTR 400,NUTR 600,,,,,
NUTR 630,NUTR 240,,,,,,
NUTR 646,,,,,,,
NUTR 660,NUTR 660L,,,,,,
NUTR 660L,NUTR 660,,,,,,
NUTR 691H,NUTR 295,,,,,,
NUTR 692H,,,,,,,
NUTR 695,,,,,,,
NUTR 696,,,,,,,
NUTR 701,SPHG 711,SPHG 712,SPHG 713,,,,
NUTR 705,,,,,,,
NUTR 711,NUTR 705,,,,,,
NUTR 712,NUTR 705,,,,,,
NUTR 714,BIOL 252,BIOL 252L,BIOL 422,BIOL 422L,NUTR 240,CHEM 261,CHEM 430
NUTR 715,NUTR 711,NUTR 712,,,,,
NUTR 722,,,,,,,
NUTR 723,NUTR 701,,,,,,
NUTR 745,,,,,,,
NUTR 746,,,,,,,
NUTR 749,,,,,,,
NUTR 760,NUTR 760L,,,,,,
NUTR 760L,NUTR 760,,,,,,
NUTR 761L,NUTR 760,,,,,,
NUTR 765,SPHG 711,SPHG 712,SPHG 713,SPHG 721,SPHG 722,,
NUTR 770,,,,,,,
NUTR 785,,,,,,,
NUTR 805,,,,,,,
NUTR 808,,,,,,,
NUTR 810,EPID 600,,,,,,
NUTR 812,,,,,,,
NUTR 813,BIOS 600,EPID 600,EPID 710,,,,
NUTR 814,EPID 715,EPID 716,NUTR 812,NUTR 813,,,
NUTR 818,EPID 600,EPID 710,NUTR 813,,,,
NUTR 845,NUTR 600,,,,,,
NUTR 865,,,,,,,
NUTR 867,NUTR 600,NUTR 620,,,,,
NUTR 868,NUTR 600,,,,,,
NUTR 880,,,,,,,
NUTR 885,,,,,,,
NUTR 910,,,,,,,
NUTR 920,,,,,,,
NUTR 992,,,,,,,
NUTR 993,,,,,,,
NUTR 994,,,,,,,
