Course Code,Prereq_1
PHCO 154,
PHCO 155,
PHCO 156,
PHCO 158,
PHCO 667,BIOC 666
PHCO 701,
PHCO 702,CHEM 430
PHCO 705,PSYC 404
PHCO 707,PHCO 702
PHCO 710,
PHCO 715,
PHCO 721,
PHCO 722,
PHCO 722A,
PHCO 722B,
PHCO 724,
PHCO 725,
PHCO 726,
PHCO 727,
PHCO 728,
PHCO 729,
PHCO 730,
PHCO 731,
PHCO 732,PHCO 701
PHCO 733,
PHCO 734,
PHCO 735,
PHCO 736,
PHCO 737,
PHCO 738,
PHCO 739,
PHCO 740,
PHCO 741,
PHCO 742,
PHCO 743,
PHCO 744,
PHCO 745,
PHCO 746,
PHCO 747,
PHCO 748,
PHCO 749,
PHCO 750,
PHCO 767,
PHCO 900,
PHCO 901,
PHCO 951,
PHCO 989,
PHCO 993,
PHCO 994,
