Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6,Prereq_7
PHRS 395,,,,,,,
PHRS 500,,,,,,,
PHRS 501,CHEM 262,,,,,,
PHRS 502,CHEM 261,CHEM 262,MATH 231,,,,
PHRS 504,CHEM 241,CHEM 262,CHEM 262H,BIOC 107,BIOL 202,BIOL 220,BIOL 240
PHRS 507,CHEM 262,,,,,,
PHRS 515,,,,,,,
PHRS 516,SOCI 172,SPHG 101,,,,,
PHRS 517,,,,,,,
PHRS 538,,,,,,,
PHRS 596,,,,,,,
PHRS 597,,,,,,,
PHRS 598,,,,,,,
PHRS 599,,,,,,,
PHRS 700,,,,,,,
PHRS 701,,,,,,,
PHRS 702,,,,,,,
PHRS 703,,,,,,,
PHRS 704,,,,,,,
PHRS 710,,,,,,,
PHRS 711,,,,,,,
PHRS 801,,,,,,,
PHRS 802,,,,,,,
PHRS 810,,,,,,,
PHRS 815,PHCY 504,,,,,,
PHRS 890,,,,,,,
PHRS 899,,,,,,,
PHRS 990,,,,,,,
PHRS 991,,,,,,,
PHRS 992,PHRS 991,,,,,,
PHRS 993,PHRS 991,,,,,,
PHRS 994,PHRS 991,,,,,,
