Course Code,Prereq_1
PHYA 201,
PHYA 202,
PHYA 203,
PHYA 205,
PHYA 206,
PHYA 209,
PHYA 210,
PHYA 211,
PHYA 213,
PHYA 214,
PHYA 216,
PHYA 217,
PHYA 219,
PHYA 221,
PHYA 222,
PHYA 223,
PHYA 225,
PHYA 227,
PHYA 228,
PHYA 229,
PHYA 230,
PHYA 233,
PHYA 235,
PHYA 236,
PHYA 238,
PHYA 239,
PHYA 240,
PHYA 241,
PHYA 242,
PHYA 243,
PHYA 245,
PHYA 246,
PHYA 290,
PHYA 302,
PHYA 310,
PHYA 314,
PHYA 316,
PHYA 317,
PHYA 319,
PHYA 321,
PHYA 325,
PHYA 330,
PHYA 335,
PHYA 338,
PHYA 341,
PHYA 343,
PHYA 402,
PHYA 409,
PHYA 414,
PHYA 416,
PHYA 419,
PHYA 427,PHYA 227
PHYA 438,
