Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6,Prereq_7,Prereq_8,Prereq_9,Prereq_10,Prereq_11,Prereq_12,Prereq_13
PHYS 50,,,,,,,,,,,,,
PHYS 51,,,,,,,,,,,,,
PHYS 52,,,,,,,,,,,,,
PHYS 53,,,,,,,,,,,,,
PHYS 54,,,,,,,,,,,,,
PHYS 55,,,,,,,,,,,,,
PHYS 61,,,,,,,,,,,,,
PHYS 63,,,,,,,,,,,,,
PHYS 89,,,,,,,,,,,,,
PHYS 100,,,,,,,,,,,,,
PHYS 101,,,,,,,,,,,,,
PHYS 102,,,,,,,,,,,,,
PHYS 103,,,,,,,,,,,,,
PHYS 106,,,,,,,,,,,,,
PHYS 108,,,,,,,,,,,,,
PHYS 114,MATH 129P,MATH 130,MATH 231,,,,,,,,,,
PHYS 115,118 114,118  118,,,,,,,,,,,
PHYS 118,MATH 231,MATH 232,,,,,,,,,,,
PHYS 119,PHYS 118,PHYS 118H,MATH 233,,,,,,,,,,
PHYS 128,PHYS 128L,,,,,,,,,,,,
PHYS 128L,PHYS 128,,,,,,,,,,,,
PHYS 131,PHYS 131L,,,,,,,,,,,,
PHYS 131L,PHYS 131,,,,,,,,,,,,
PHYS 132,,,,,,,,,,,,,
PHYS 133,,,,,,,,,,,,,
PHYS 201,MATH 383,PHYS 281L,,,,,,,,,,,
PHYS 211,MATH 233,MATH 115,MATH 119,,,,,,,,,,
PHYS 231,PHYS 114,PHYS 118,,,,,,,,,,,
PHYS 281L,119 119,,,,,,,,,,,,
PHYS 295,,,,,,,,,,,,,
PHYS 311,PHYS 331,PHYS 119,,,,,,,,,,,
PHYS 313,,,,,,,,,,,,,
PHYS 331,MATH 114,MATH 118,MATH 383,,,,,,,,,,
PHYS 332,PHYS 331,,,,,,,,,,,,
PHYS 351,PHYS 115,PHYS 119,MATH 383,PHYS 331,,,,,,,,,
PHYS 352,PHYS 351,,,,,,,,,,,,
PHYS 354,MATH 231,,,,,,,,,,,,
PHYS 391,,,,,,,,,,,,,
PHYS 395,PHYS 281L,,,,,,,,,,,,
PHYS 401,MATH 383,PHYS 281L,PHYS 331,,,,,,,,,,
PHYS 405,PHYS 118,PHYS 119,,,,,,,,,,,
PHYS 410,119 119,,,,,,,,,,,,
PHYS 412,PHYS 281L,PHYS 311,PHYS 332,,,,,,,,,,
PHYS 421,MATH 383,MATH 347,PHYS 331,PHYS 119,,,,,,,,,
PHYS 422,MATH 383,PHYS 201,PHYS 211,PHYS 311,PHYS 401,,,,,,,,
PHYS 441,MATH 233,MATH 119,,,,,,,,,,,
PHYS 447,MATH 232,MATH 118,,,,,,,,,,,
PHYS 461,119 119,,,,,,,,,,,,
PHYS 471,311 119,PHYS 211,PHYS 311,,,,,,,,,,
PHYS 472,CHEM 482,CHEM 119,,,,,,,,,,,
PHYS 481L,PHYS 281L,PHYS 351,PHYS 352,,,,,,,,,,
PHYS 491L,APPL 470,PHYS 351,,,,,,,,,,,
PHYS 492L,APPL 491L,PHYS 491L,,,,,,,,,,,
PHYS 510,,,,,,,,,,,,,
PHYS 510L,PHYS 510,,,,,,,,,,,,
PHYS 515,PHYS 311,PHYS 412,,,,,,,,,,,
PHYS 521,PHYS 421,,,,,,,,,,,,
PHYS 529,PHYS 421,CHEM 486,,,,,,,,,,,
PHYS 543,PHYS 421,,,,,,,,,,,,
PHYS 545,PHYS 412,PHYS 421,,,,,,,,,,,
PHYS 573,PHYS 421,,,,,,,,,,,,
PHYS 581,BIOL 101L,BIOL 202,BIOL 271,PHYS 131,PHYS 131L,PHYS 281L,PHYS 201,PHYS 401,PHYS 211,PHYS 311,PHYS 351,CHEM 261,CHEM 481
PHYS 582,BIOL 101L,BIOL 202,BIOL 271,PHYS 131,PHYS 131L,PHYS 281L,PHYS 201,PHYS 401,PHYS 211,PHYS 311,PHYS 351,CHEM 261,CHEM 481
PHYS 585,MATH 233,PHYS 118,,,,,,,,,,,
PHYS 586,PHYS 119,,,,,,,,,,,,
PHYS 594,MATH 383,,,,,,,,,,,,
PHYS 631,PHYS 281L,PHYS 332,,,,,,,,,,,
PHYS 632,,,,,,,,,,,,,
PHYS 633,MATH 528,MATH 529,PHYS 631,PHYS 632,,,,,,,,,
PHYS 660,PHYS 401,,,,,,,,,,,,
PHYS 671L,PHYS 401,PHYS 412,,,,,,,,,,,
PHYS 672L,PHYS 401,PHYS 412,,,,,,,,,,,
PHYS 691H,,,,,,,,,,,,,
PHYS 692H,PHYS 691H,,,,,,,,,,,,
PHYS 701,,,,,,,,,,,,,
PHYS 711,PHYS 631,PHYS 632,,,,,,,,,,,
PHYS 712,,,,,,,,,,,,,
PHYS 715,,,,,,,,,,,,,
PHYS 721,PHYS 421,,,,,,,,,,,,
PHYS 722,PHYS 421,,,,,,,,,,,,
PHYS 741,PHYS 701,PHYS 721,,,,,,,,,,,
PHYS 771L,PHYS 401,PHYS 412,,,,,,,,,,,
PHYS 772L,PHYS 401,PHYS 412,,,,,,,,,,,
PHYS 780,,,,,,,,,,,,,
PHYS 821,PHYS 722,,,,,,,,,,,,
PHYS 822,PHYS 722,,,,,,,,,,,,
PHYS 823,PHYS 722,,,,,,,,,,,,
PHYS 824,,,,,,,,,,,,,
PHYS 829,CHEM 781,PHYS 721,,,,,,,,,,,
PHYS 831,PHYS 701,PHYS 711,PHYS 712,,,,,,,,,,
PHYS 832,PHYS 831,,,,,,,,,,,,
PHYS 861,PHYS 543,PHYS 721,,,,,,,,,,,
PHYS 862,PHYS 543,PHYS 721,,,,,,,,,,,
PHYS 871,PHYS 421,,,,,,,,,,,,
PHYS 872,PHYS 871,,,,,,,,,,,,
PHYS 873,PHYS 722,,,,,,,,,,,,
PHYS 883,,,,,,,,,,,,,
PHYS 885,,,,,,,,,,,,,
PHYS 893,,,,,,,,,,,,,
PHYS 895,,,,,,,,,,,,,
PHYS 896,,,,,,,,,,,,,
PHYS 897,,,,,,,,,,,,,
PHYS 899,,,,,,,,,,,,,
PHYS 901,,,,,,,,,,,,,
PHYS 992,,,,,,,,,,,,,
PHYS 993,,,,,,,,,,,,,
PHYS 994,,,,,,,,,,,,,
