Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6
PLAN 50,,,,,,
PLAN 51,,,,,,
PLAN 52,,,,,,
PLAN 53,,,,,,
PLAN 54,,,,,,
PLAN 55,,,,,,
PLAN 57,,,,,,
PLAN 58,,,,,,
PLAN 59,,,,,,
PLAN 89,,,,,,
PLAN 101,,,,,,
PLAN 246,,,,,,
PLAN 247,,,,,,
PLAN 270,,,,,,
PLAN 317,,,,,,
PLAN 326,,,,,,
PLAN 330,,,,,,
PLAN 363,,,,,,
PLAN 372,,,,,,
PLAN 390,,,,,,
PLAN 420,,,,,,
PLAN 428,,,,,,
PLAN 491,GEOG 370,,,,,
PLAN 526,,,,,,
PLAN 539,,,,,,
PLAN 547,,,,,,
PLAN 548,,,,,,
PLAN 550,,,,,,
PLAN 562,,,,,,
PLAN 573,,,,,,
PLAN 574,,,,,,
PLAN 575,,,,,,
PLAN 576,,,,,,
PLAN 590,,,,,,
PLAN 591,GEOG 370,GEOG 491,,,,
PLAN 596,,,,,,
PLAN 635,,,,,,
PLAN 636,,,,,,
PLAN 637,,,,,,
PLAN 638,,,,,,
PLAN 639,,,,,,
PLAN 640,,,,,,
PLAN 641,,,,,,
PLAN 647,,,,,,
PLAN 651,,,,,,
PLAN 652,,,,,,
PLAN 655,,,,,,
PLAN 656,,,,,,
PLAN 662,,,,,,
PLAN 663,,,,,,
PLAN 670,,,,,,
PLAN 671,PLAN 720,ECON 400,BIOS 600,ENEC 562,STOR 155,PLCY 460
PLAN 672,,,,,,
PLAN 677,,,,,,
PLAN 685,,,,,,
PLAN 687,,,,,,
PLAN 691H,,,,,,
PLAN 701,,,,,,
PLAN 704,,,,,,
PLAN 710,,,,,,
PLAN 714,,,,,,
PLAN 720,,,,,,
PLAN 721,,,,,,
PLAN 722,,,,,,
PLAN 724,,,,,,
PLAN 725,,,,,,
PLAN 730,,,,,,
PLAN 731,,,,,,
PLAN 735,,,,,,
PLAN 738,PLAN 636,,,,,
PLAN 739,,,,,,
PLAN 740,,,,,,
PLAN 741,,,,,,
PLAN 744,,,,,,
PLAN 745,,,,,,
PLAN 752,,,,,,
PLAN 754,,,,,,
PLAN 757,,,,,,
PLAN 760,,,,,,
PLAN 761,,,,,,
PLAN 762,,,,,,
PLAN 763,,,,,,
PLAN 764,,,,,,
PLAN 765,,,,,,
PLAN 766,,,,,,
PLAN 767,,,,,,
PLAN 769,,,,,,
PLAN 773,,,,,,
PLAN 774,,,,,,
PLAN 776,,,,,,
PLAN 781,,,,,,
PLAN 785,PLAN 710,,,,,
PLAN 786,,,,,,
PLAN 787,,,,,,
PLAN 788,,,,,,
PLAN 789,PLCY 888,,,,,
PLAN 793,,,,,,
PLAN 800,,,,,,
PLAN 801,,,,,,
PLAN 802,,,,,,
PLAN 805,,,,,,
PLAN 823,,,,,,
PLAN 890,,,,,,
PLAN 891,,,,,,
PLAN 896,,,,,,
PLAN 911,,,,,,
PLAN 992,,,,,,
PLAN 994,,,,,,
