Course Code,Prereq_1,Prereq_2
PLCY 51,,
PLCY 54,,
PLCY 55,,
PLCY 60,,
PLCY 61,,
PLCY 63,,
PLCY 68,,
PLCY 71,,
PLCY 75,,
PLCY 76,,
PLCY 80,,
PLCY 81,,
PLCY 85,,
PLCY 87,,
PLCY 89,,
PLCY 101,,
PLCY 110,,
PLCY 130,,
PLCY 190,,
PLCY 195,,
PLCY 196,,
PLCY 210,,
PLCY 220,,
PLCY 231,,
PLCY 290,,
PLCY 291,,
PLCY 293,,
PLCY 296,,
PLCY 305,,
PLCY 310,ECON 101,
PLCY 326,,
PLCY 340,,
PLCY 345,,
PLCY 349,,
PLCY 352H,,
PLCY 353H,,
PLCY 354,,
PLCY 355,,
PLCY 360,,
PLCY 361,,
PLCY 362,,
PLCY 364,,
PLCY 365,,
PLCY 371,,
PLCY 372,,
PLCY 373,,
PLCY 375,,
PLCY 390,,
PLCY 393,,
PLCY 394,,
PLCY 395,,
PLCY 396,,
PLCY 425,,
PLCY 430,,
PLCY 435,,
PLCY 450,,
PLCY 460,,
PLCY 475,,
PLCY 483,,
PLCY 485,ECON 101,
PLCY 490,,
PLCY 493H,,
PLCY 496,,
PLCY 505,PLCY 460,
PLCY 527,ECON 310,ECON 410
PLCY 530,,
PLCY 540,,
PLCY 565,,
PLCY 570,,
PLCY 575,,
PLCY 581,PLCY 460,
PLCY 590,,
PLCY 596,,
PLCY 690,,
PLCY 691H,PLCY 460,PLCY 581
PLCY 692H,PLCY 691H,
PLCY 696,,
PLCY 698,PLCY 460,PLCY 581
PLCY 701,,
PLCY 710,,
PLCY 715,PLCY 460,
PLCY 720,,
PLCY 725,,
PLCY 730,,
PLCY 740,,
PLCY 745,,
PLCY 748,,
PLCY 750,,
PLCY 760,,
PLCY 761,,
PLCY 762,,
PLCY 763,,
PLCY 770,,
PLCY 785,,
PLCY 790,,
PLCY 795,,
PLCY 799,,
PLCY 800,,
PLCY 801,,
PLCY 802,,
PLCY 805,,
PLCY 810,,
PLCY 816,,
PLCY 817,,
PLCY 880,,
PLCY 882,,
PLCY 885,PLCY 882,
PLCY 888,,
PLCY 889,PLCY 888,
PLCY 895,,
PLCY 901,,
PLCY 992,,
PLCY 993,,
PLCY 994,,
