Course Code,Prereq_1,Prereq_2,Prereq_3
POLI 50,,,
POLI 52,,,
POLI 57,,,
POLI 59,,,
POLI 63,,,
POLI 66,,,
POLI 70,,,
POLI 72,,,
POLI 75,,,
POLI 76,,,
POLI 77,,,
POLI 87,,,
POLI 89,,,
POLI 100,,,
POLI 130,,,
POLI 150,,,
POLI 150L,POLI 150,,
POLI 190,,,
POLI 193,,,
POLI 200,,,
POLI 201,,,
POLI 202,,,
POLI 203,,,
POLI 204,,,
POLI 205,,,
POLI 206,,,
POLI 207,,,
POLI 208,,,
POLI 209,,,
POLI 210,,,
POLI 211,,,
POLI 215,,,
POLI 217,,,
POLI 220,,,
POLI 231,,,
POLI 232,,,
POLI 233,,,
POLI 234,,,
POLI 235,,,
POLI 236,,,
POLI 237,,,
POLI 238,,,
POLI 239,,,
POLI 240,,,
POLI 241,,,
POLI 248,,,
POLI 252,,,
POLI 253,,,
POLI 254,,,
POLI 255,,,
POLI 256,,,
POLI 257,,,
POLI 260,,,
POLI 265,,,
POLI 270,,,
POLI 271,,,
POLI 272,,,
POLI 275,,,
POLI 276,,,
POLI 280,,,
POLI 281,,,
POLI 285,,,
POLI 287,,,
POLI 288,,,
POLI 290,,,
POLI 291,,,
POLI 325,,,
POLI 333,,,
POLI 345,,,
POLI 350,POLI 150,,
POLI 381,POLI 281,,
POLI 384,,,
POLI 395,,,
POLI 396,,,
POLI 400,,,
POLI 401,,,
POLI 404,POLI 100,,
POLI 405,,,
POLI 406,POLI 100,,
POLI 409,,,
POLI 410,,,
POLI 411,,,
POLI 412,,,
POLI 416,,,
POLI 417,,,
POLI 418,,,
POLI 419,,,
POLI 420,,,
POLI 421,,,
POLI 422,,,
POLI 424,,,
POLI 428,,,
POLI 429,POLI 130,,
POLI 430,,,
POLI 431,,,
POLI 432,,,
POLI 433,,,
POLI 434,,,
POLI 435,,,
POLI 438,,,
POLI 439,,,
POLI 440,,,
POLI 441,,,
POLI 442,ECON 101,POLI 150,
POLI 443,POLI 150,,
POLI 444,,,
POLI 447,,,
POLI 448,,,
POLI 449,,,
POLI 450,,,
POLI 451,,,
POLI 452,,,
POLI 453,,,
POLI 457,,,
POLI 458,POLI 150,,
POLI 459,,,
POLI 469,,,
POLI 470,,,
POLI 471,,,
POLI 472,,,
POLI 473,,,
POLI 475,,,
POLI 476,,,
POLI 477,,,
POLI 478,,,
POLI 488,POLI 287,POLI 288,
POLI 490,,,
POLI 630,,,
POLI 631,,,
POLI 632,,,
POLI 691H,,,
POLI 692H,,,
POLI 693H,,,
POLI 698,PHIL 384,,
POLI 700,,,
POLI 701,,,
POLI 703,,,
POLI 704,,,
POLI 705,,,
POLI 708,,,
POLI 710,,,
POLI 711,,,
POLI 712,,,
POLI 713,,,
POLI 714,,,
POLI 715,POLI 711,,
POLI 716,,,
POLI 717,,,
POLI 718,,,
POLI 720,POLI 700,POLI 745,PUBA 723
POLI 721,,,
POLI 723,,,
POLI 724,POLI 700,,
POLI 725,PUBA 719,,
POLI 726,,,
POLI 727,,,
POLI 728,,,
POLI 729,,,
POLI 730,,,
POLI 731,,,
POLI 732,,,
POLI 733,,,
POLI 734,,,
POLI 735,,,
POLI 736,,,
POLI 737,,,
POLI 738,,,
POLI 739,,,
POLI 740,,,
POLI 741,,,
POLI 742,,,
POLI 743,,,
POLI 744,,,
POLI 745,,,
POLI 746,,,
POLI 747,,,
POLI 750,,,
POLI 751,,,
POLI 752,,,
POLI 753,,,
POLI 754,,,
POLI 756,,,
POLI 757,ECON 460,ECON 465,
POLI 758,,,
POLI 759,,,
POLI 763,,,
POLI 768,,,
POLI 771,,,
POLI 773,,,
POLI 774,,,
POLI 775,,,
POLI 776,,,
POLI 777,,,
POLI 778,,,
POLI 780,,,
POLI 782,,,
POLI 783,,,
POLI 784,,,
POLI 786,POLI 784,,
POLI 787,POLI 783,POLI 784,
POLI 788,,,
POLI 789,,,
POLI 790,,,
POLI 791,POLI 789,,
POLI 792,,,
POLI 799,,,
POLI 801,,,
POLI 803,,,
POLI 811,,,
POLI 813,,,
POLI 816,,,
POLI 830,,,
POLI 831,,,
POLI 846,MEJO 446,,
POLI 850,,,
POLI 851,,,
POLI 852,,,
POLI 853,,,
POLI 860,,,
POLI 861,,,
POLI 862,,,
POLI 870,,,
POLI 880,POLI 780,POLI 783,
POLI 881,,,
POLI 882,,,
POLI 883,POLI 784,,
POLI 884,POLI 783,POLI 784,POLI 787
POLI 885,,,
POLI 888,POLI 788,,
POLI 890,,,
POLI 891,,,
POLI 993,,,
POLI 994,,,
