Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4
PORT 101,,,,
PORT 102,PORT 101,,,
PORT 111,,,,
PORT 203,PORT 102,PORT 111,PORT 401,
PORT 204,PORT 203,,,
PORT 212,PORT 102,PORT 111,PORT 401,
PORT 296,,,,
PORT 310,PORT 204,PORT 402,,
PORT 316,,,,
PORT 323,PORT 204,PORT 402,,
PORT 351,PORT 310,PORT 388,,
PORT 352,PORT 351,,,
PORT 354,PORT 323,PORT 385,,
PORT 355,PORT 354,,,
PORT 370,,,,
PORT 375,,,,
PORT 382,,,,
PORT 385,,,,
PORT 387,,,,
PORT 388,,,,
PORT 395,PORT 310,PORT 323,,
PORT 396,,,,
PORT 398,,,,
PORT 401,,,,
PORT 402,PORT 102,PORT 111,PORT 401,
PORT 408,PORT 204,PORT 402,,
PORT 420,PORT 204,PORT 402,,
PORT 501,PORT 204,PORT 402,,
PORT 520,PORT 204,PORT 402,PORT 310,PORT 323
PORT 521,,,,
PORT 526,PORT 402,,,
PORT 530,,,,
PORT 535,PORT 402,,,
PORT 540,PORT 204,PORT 402,,
PORT 691H,,,,
PORT 692H,,,,
PORT 703,,,,
PORT 704,,,,
PORT 710,,,,
PORT 712,,,,
PORT 713,,,,
PORT 714,,,,
PORT 721,,,,
PORT 731,,,,
PORT 791,,,,
PORT 830,,,,
PORT 833,,,,
PORT 835,,,,
PORT 840,,,,
PORT 993,,,,
PORT 994,,,,
