Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4
PSYC 54,,,,
PSYC 58,,,,
PSYC 62,,,,
PSYC 63,,,,
PSYC 66,,,,
PSYC 67,,,,
PSYC 68,,,,
PSYC 89,,,,
PSYC 101,,,,
PSYC 115,,,,
PSYC 180,,,,
PSYC 190,,,,
PSYC 210,PSYC 101,,,
PSYC 220,PSYC 101,,,
PSYC 230,PSYC 101,,,
PSYC 242,PSYC 101,,,
PSYC 245,PSYC 101,,,
PSYC 250,PSYC 101,,,
PSYC 260,PSYC 101,,,
PSYC 270,PSYC 101,,,
PSYC 290,PSYC 101,,,
PSYC 294,,,,
PSYC 310,PSYC 210,SOCI 252,STOR 155,
PSYC 330,PSYC 101,,,
PSYC 390,PSYC 101,,,
PSYC 391,,,,
PSYC 395,PSYC 101,,,
PSYC 404,PSYC 101,,,
PSYC 430,PSYC 101,PSYC 230,,
PSYC 432,PSYC 101,,,
PSYC 433,PSYC 101,,,
PSYC 435,PSYC 101,,,
PSYC 438,PSYC 101,PSYC 270,PSYC 432,
PSYC 463,PSYC 101,PSYC 210,,
PSYC 467,PSYC 101,PSYC 250,,
PSYC 468,PSYC 101,PSYC 250,PSYC 210,
PSYC 469,BIOL 101,PSYC 101,PSYC 210,
PSYC 471,PSYC 101,PSYC 250,PSYC 210,
PSYC 474,PSYC 101,,,
PSYC 490,,,,
PSYC 493,PSYC 101,,,
PSYC 500,PSYC 101,PSYC 245,PSYC 250,
PSYC 501,PSYC 101,,,
PSYC 502,PSYC 101,PSYC 250,,
PSYC 503,PSYC 101,,,
PSYC 504,PSYC 101,PSYC 245,,
PSYC 505,PSYC 101,PSYC 242,PSYC 245,
PSYC 514,PSYC 101,PSYC 245,,
PSYC 517,PSYC 101,,,
PSYC 518H,PSYC 250,,,
PSYC 525,PSYC 270,PSYC 245,,
PSYC 528,PSYC 101,PSYC 210,PSYC 270,
PSYC 530,PSYC 101,PSYC 270,,
PSYC 531,PSYC 101,PSYC 210,,
PSYC 532,PSYC 210,SOCI 252,STOR 155,
PSYC 533,ECON 400,PSYC 210,SOCI 252,STOR 155
PSYC 534,PSYC 210,SOCI 252,STOR 155,
PSYC 535,PSYC 101,PSYC 210,,
PSYC 559,PSYC 101,PSYC 210,,
PSYC 564,PSYC 101,PSYC 260,PSYC 210,
PSYC 565,PSYC 101,PSYC 260,PSYC 210,
PSYC 566,PSYC 101,PSYC 260,,
PSYC 569,PSYC 101,PSYC 260,PSYC 270,
PSYC 570,PSYC 101,PSYC 260,PSYC 210,
PSYC 571,PSYC 220,NSCI 175,PSYC 260,
PSYC 572,PSYC 101,PSYC 260,,
PSYC 573,PSYC 101,WGST 101,,
PSYC 574,PSYC 101,PSYC 260,,
PSYC 575,PSYC 101,,,
PSYC 601,PSYC 101,PSYC 210,,
PSYC 602,PSYC 101,,,
PSYC 693H,NSCI 395,NSCI 693H,,
PSYC 694H,NSCI 693H,NSCI 395,NSCI 694H,
PSYC 701,,,,
PSYC 702,,,,
PSYC 703,,,,
PSYC 704,,,,
PSYC 705,PSYC 404,,,
PSYC 707,,,,
PSYC 708,,,,
PSYC 709,,,,
PSYC 719,,,,
PSYC 720,,,,
PSYC 721,,,,
PSYC 738,,,,
PSYC 739,,,,
PSYC 740,,,,
PSYC 741,,,,
PSYC 742,,,,
PSYC 743,,,,
PSYC 744,,,,
PSYC 746,,,,
PSYC 750,,,,
PSYC 751,,,,
PSYC 760,,,,
PSYC 761,,,,
PSYC 762,,,,
PSYC 763,,,,
PSYC 766,,,,
PSYC 767,,,,
PSYC 768,,,,
PSYC 769,,,,
PSYC 780,,,,
PSYC 781,,,,
PSYC 790,,,,
PSYC 791,,,,
PSYC 792,,,,
PSYC 793,,,,
PSYC 795,,,,
PSYC 796,,,,
PSYC 803,,,,
PSYC 804,,,,
PSYC 806,,,,
PSYC 807,PSYC 806,,,
PSYC 809,,,,
PSYC 810,,,,
PSYC 811,,,,
PSYC 812,,,,
PSYC 813,,,,
PSYC 814,,,,
PSYC 815,,,,
PSYC 817,PSYC 811,PSYC 812,,
PSYC 818,PSYC 817,,,
PSYC 819,,,,
PSYC 822,,,,
PSYC 823,,,,
PSYC 825,PSYC 811,PSYC 812,,
PSYC 827,,,,
PSYC 828,,,,
PSYC 829,,,,
PSYC 830,,,,
PSYC 831,PSYC 830,,,
PSYC 833,PSYC 830,PSYC 831,,
PSYC 834,PSYC 830,PSYC 831,,
PSYC 838,,,,
PSYC 839,PSYC 830,PSYC 831,,
PSYC 840,PSYC 831,,,
PSYC 842,PSYC 831,,,
PSYC 843,PSYC 831,,,
PSYC 844,PSYC 831,,,
PSYC 845,,,,
PSYC 846,PSYC 830,PSYC 831,,
PSYC 847,PSYC 830,PSYC 831,,
PSYC 848,PSYC 830,PSYC 831,,
PSYC 849,PSYC 830,PSYC 831,,
PSYC 850,,,,
PSYC 859,,,,
PSYC 860,,,,
PSYC 861,,,,
PSYC 862,PSYC 867,,,
PSYC 863,PSYC 867,,,
PSYC 864,PSYC 867,,,
PSYC 865,,,,
PSYC 866,PSYC 867,,,
PSYC 867,,,,
PSYC 868,PSYC 867,,,
PSYC 869,PSYC 867,,,
PSYC 870,,,,
PSYC 871,PSYC 867,,,
PSYC 872,,,,
PSYC 873,,,,
PSYC 874,PSYC 863,,,
PSYC 875,PSYC 870,,,
PSYC 876,PSYC 869,PSYC 870,,
PSYC 880,,,,
PSYC 888,PSYC 869,PSYC 870,,
PSYC 889,,,,
PSYC 890,,,,
PSYC 894,EDUC 784,PSYC 831,,
PSYC 899,,,,
PSYC 990,,,,
PSYC 991,,,,
PSYC 993,,,,
PSYC 994,,,,
