Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6,Prereq_7,Prereq_8,Prereq_9,Prereq_10
PUBA 201,PUBA 202,,,,,,,,,
PUBA 202,PUBA 201,,,,,,,,,
PUBA 401,,,,,,,,,,
PUBA 402,HBEH 611,,,,,,,,,
PUBA 635,,,,,,,,,,
PUBA 709,,,,,,,,,,
PUBA 710,,,,,,,,,,
PUBA 711,,,,,,,,,,
PUBA 719,,,,,,,,,,
PUBA 720,PUBA 719,,,,,,,,,
PUBA 721,,,,,,,,,,
PUBA 723,,,,,,,,,,
PUBA 730,,,,,,,,,,
PUBA 731,,,,,,,,,,
PUBA 734,,,,,,,,,,
PUBA 735,,,,,,,,,,
PUBA 736,,,,,,,,,,
PUBA 738,,,,,,,,,,
PUBA 739,,,,,,,,,,
PUBA 740,,,,,,,,,,
PUBA 742,,,,,,,,,,
PUBA 743,,,,,,,,,,
PUBA 744,,,,,,,,,,
PUBA 745,PUBA 709,PUBA 710,PUBA 719,PUBA 720,PUBA 721,PUBA 723,PUBA 731,PUBA 760,,
PUBA 746,PUBA 709,PUBA 710,PUBA 711,PUBA 719,PUBA 720,PUBA 721,PUBA 723,PUBA 731,PUBA 760,PUBA 745
PUBA 747,PUBA 709,PUBA 710,PUBA 719,PUBA 720,PUBA 721,,,,,
PUBA 748,PUBA 709,PUBA 710,PUBA 711,PUBA 719,PUBA 720,PUBA 721,PUBA 723,PUBA 731,PUBA 760,PUBA 747
PUBA 751,,,,,,,,,,
PUBA 752,,,,,,,,,,
PUBA 753,,,,,,,,,,
PUBA 756,,,,,,,,,,
PUBA 757,570 570,,,,,,,,,
PUBA 758,,,,,,,,,,
PUBA 759,,,,,,,,,,
PUBA 760,,,,,,,,,,
PUBA 763,,,,,,,,,,
PUBA 764,,,,,,,,,,
PUBA 765,,,,,,,,,,
PUBA 766,,,,,,,,,,
PUBA 767,,,,,,,,,,
PUBA 768,,,,,,,,,,
PUBA 769,,,,,,,,,,
PUBA 771,,,,,,,,,,
PUBA 772,,,,,,,,,,
PUBA 778,,,,,,,,,,
PUBA 779,,,,,,,,,,
PUBA 780,,,,,,,,,,
PUBA 781,,,,,,,,,,
PUBA 782,,,,,,,,,,
PUBA 787,,,,,,,,,,
PUBA 900,,,,,,,,,,
