Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6
PUBH 420,,,,,,
PUBH 610,,,,,,
PUBH 613,,,,,,
PUBH 615,,,,,,
PUBH 690,,,,,,
PUBH 696,,,,,,
PUBH 701,,,,,,
PUBH 702,,,,,,
PUBH 704,,,,,,
PUBH 705,,,,,,
PUBH 706,,,,,,
PUBH 708,SPHG 713,PUBH 734,,,,
PUBH 710,,,,,,
PUBH 711,,,,,,
PUBH 712,,,,,,
PUBH 714,,,,,,
PUBH 718,PUBH 791,,,,,
PUBH 720,,,,,,
PUBH 723,SPHG 721,,,,,
PUBH 725,,,,,,
PUBH 729,,,,,,
PUBH 730,PUBH 791,,,,,
PUBH 731,,,,,,
PUBH 734,,,,,,
PUBH 736,,,,,,
PUBH 737,SPHG 711,SPHG 712,SPHG 713,PUBH 734,PUBH 736,
PUBH 738,PUBH 737,,,,,
PUBH 739,SPHG 713,,,,,
PUBH 740,PUBH 734,PUBH 736,PUBH 737,PUBH 738,PUBH 739,
PUBH 743,SPHG 711,SPHG 712,SPHG 713,,,
PUBH 745,,,,,,
PUBH 746,,,,,,
PUBH 747,,,,,,
PUBH 748,PUBH 791,,,,,
PUBH 749,,,,,,
PUBH 750,,,,,,
PUBH 751,,,,,,
PUBH 752,,,,,,
PUBH 754,,,,,,
PUBH 755,,,,,,
PUBH 760,,,,,,
PUBH 763,,,,,,
PUBH 767,,,,,,
PUBH 781,PUBH 791,,,,,
PUBH 782,SPHG 711,SPHG 712,SPHG 713,,,
PUBH 783,SPHG 711,SPHG 712,SPHG 713,SPHG 711,SPHG 712,SPHG 713
PUBH 784,,,,,,
PUBH 785,PUBH 791,SPHG 711,SPHG 712,SPHG 713,,
PUBH 790,,,,,,
PUBH 791,,,,,,
PUBH 805,,,,,,
PUBH 810,,,,,,
PUBH 811,PUBH 810,,,,,
PUBH 886,,,,,,
PUBH 890,,,,,,
PUBH 992,,,,,,
