Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4
PWAD 69,,,,
PWAD 89,,,,
PWAD 101,,,,
PWAD 108,,,,
PWAD 110,,,,
PWAD 120,,,,
PWAD 132,,,,
PWAD 134,,,,
PWAD 150,,,,
PWAD 161,,,,
PWAD 205,,,,
PWAD 206,,,,
PWAD 207,,,,
PWAD 212,,,,
PWAD 213,,,,
PWAD 220,,,,
PWAD 235,,,,
PWAD 238,,,,
PWAD 245,,,,
PWAD 248,,,,
PWAD 250,,,,
PWAD 251,,,,
PWAD 252,,,,
PWAD 253,,,,
PWAD 254,,,,
PWAD 260,,,,
PWAD 262,,,,
PWAD 266,,,,
PWAD 268,,,,
PWAD 272,,,,
PWAD 273,,,,
PWAD 277,,,,
PWAD 280,,,,
PWAD 281,,,,
PWAD 283,,,,
PWAD 287,,,,
PWAD 289,,,,
PWAD 300,,,,
PWAD 312,,,,
PWAD 331,,,,
PWAD 352,,,,
PWAD 353,,,,
PWAD 354,,,,
PWAD 355,,,,
PWAD 356,,,,
PWAD 357,,,,
PWAD 358,,,,
PWAD 359,,,,
PWAD 360,,,,
PWAD 361,,,,
PWAD 363,,,,
PWAD 364,,,,
PWAD 368,,,,
PWAD 369,,,,
PWAD 373,,,,
PWAD 388,,,,
PWAD 393,,,,
PWAD 396,,,,
PWAD 411,,,,
PWAD 416,,,,
PWAD 421,,,,
PWAD 422,,,,
PWAD 425,,,,
PWAD 427,,,,
PWAD 430,,,,
PWAD 432,,,,
PWAD 435,,,,
PWAD 443,POLI 150,,,
PWAD 444,,,,
PWAD 450,,,,
PWAD 452,,,,
PWAD 453,,,,
PWAD 457,,,,
PWAD 458,POLI 150,,,
PWAD 459,,,,
PWAD 460,ECON 400,ECON 410,ECON 400,ECON 410
PWAD 462,,,,
PWAD 465,,,,
PWAD 469,,,,
PWAD 481,,,,
PWAD 483,,,,
PWAD 484,,,,
PWAD 485,,,,
PWAD 486,,,,
PWAD 488,,,,
PWAD 489,,,,
PWAD 490,,,,
PWAD 517,,,,
PWAD 565,,,,
PWAD 570,,,,
PWAD 574,,,,
PWAD 575,COMM 170,,,
PWAD 577,,,,
PWAD 578,,,,
PWAD 635,,,,
PWAD 652,,,,
PWAD 659,,,,
PWAD 660,,,,
PWAD 670,,,,
PWAD 673,,,,
PWAD 674,,,,
PWAD 675,,,,
PWAD 676,,,,
PWAD 680,,,,
PWAD 690,,,,
PWAD 691H,,,,
PWAD 692H,PWAD 691H,,,
