Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4
RADI 432,,,,
RADI 440,BIOL 252,BIOL 252L,,
RADI 442,,,,
RADI 461,RADI 442,,,
RADI 462,RADI 442,,,
RADI 463,RADI 442,,,
RADI 465,,,,
RADI 466,RADI 442,,,
RADI 467,RADI 440,RADI 442,,
RADI 471,RADI 461,,,
RADI 472,RADI 462,,,
RADI 473,RADI 463,,,
RADI 474,RADI 466,RADI 467,,
RADI 478,RADI 466,RADI 467,,
RADI 479,RADI 466,RADI 467,RADI 474,RADI 478
RADI 574,RADI 473,,,
RADI 575,RADI 574,,,
RADI 583,RADI 574,RADI 575,,
RADI 584,RADI 583,,,
RADI 585,RADI 472,,,
RADI 586,,,,
RADI 591,RADI 584,,,
RADI 594,,,,
RADI 597,,,,
RADI 660,,,,
RADI 662,,,,
RADI 670,RADI 660,,,
RADI 672,,,,
RADI 681,,,,
RADI 686,,,,
RADI 694,,,,
