Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6
RELI 60,,,,,,
RELI 61,,,,,,
RELI 62,,,,,,
RELI 63,,,,,,
RELI 64,,,,,,
RELI 65,,,,,,
RELI 66,,,,,,
RELI 67,,,,,,
RELI 68,,,,,,
RELI 69,,,,,,
RELI 70,,,,,,
RELI 71,,,,,,
RELI 72,,,,,,
RELI 73,,,,,,
RELI 74,,,,,,
RELI 75,,,,,,
RELI 76,,,,,,
RELI 77,,,,,,
RELI 78,,,,,,
RELI 79,,,,,,
RELI 80,,,,,,
RELI 85,,,,,,
RELI 87,,,,,,
RELI 88,,,,,,
RELI 89,,,,,,
RELI 101,,,,,,
RELI 102,,,,,,
RELI 103,,,,,,
RELI 104,,,,,,
RELI 105,,,,,,
RELI 106,,,,,,
RELI 107,,,,,,
RELI 108,,,,,,
RELI 109,,,,,,
RELI 110,,,,,,
RELI 114,,,,,,
RELI 117,,,,,,
RELI 121,,,,,,
RELI 122,,,,,,
RELI 123,,,,,,
RELI 125,,,,,,
RELI 126,,,,,,
RELI 127,,,,,,
RELI 130,,,,,,
RELI 132,,,,,,
RELI 134,,,,,,
RELI 135,,,,,,
RELI 138,,,,,,
RELI 140,,,,,,
RELI 141,,,,,,
RELI 142,,,,,,
RELI 143,,,,,,
RELI 151,,,,,,
RELI 161,,,,,,
RELI 162,,,,,,
RELI 163,,,,,,
RELI 164,,,,,,
RELI 165,,,,,,
RELI 166,,,,,,
RELI 167,,,,,,
RELI 180,,,,,,
RELI 181,,,,,,
RELI 183,,,,,,
RELI 184,,,,,,
RELI 185,,,,,,
RELI 196,,,,,,
RELI 201,,,,,,
RELI 205,,,,,,
RELI 206,,,,,,
RELI 207,,,,,,
RELI 208,,,,,,
RELI 209,,,,,,
RELI 211,,,,,,
RELI 212,RELI 211,,,,,
RELI 215,,,,,,
RELI 217,,,,,,
RELI 218,,,,,,
RELI 220,,,,,,
RELI 222,,,,,,
RELI 224,,,,,,
RELI 225,,,,,,
RELI 226,,,,,,
RELI 227,,,,,,
RELI 232,,,,,,
RELI 233,,,,,,
RELI 235,,,,,,
RELI 236,,,,,,
RELI 239,,,,,,
RELI 240,,,,,,
RELI 241,,,,,,
RELI 242,,,,,,
RELI 243,,,,,,
RELI 244,,,,,,
RELI 245,,,,,,
RELI 246,,,,,,
RELI 247,,,,,,
RELI 248,,,,,,
RELI 263,,,,,,
RELI 266,,,,,,
RELI 270,,,,,,
RELI 279,,,,,,
RELI 280,,,,,,
RELI 283,,,,,,
RELI 284,,,,,,
RELI 285,,,,,,
RELI 286,,,,,,
RELI 287,,,,,,
RELI 288,,,,,,
RELI 289,,,,,,
RELI 314,,,,,,
RELI 315,,,,,,
RELI 322,,,,,,
RELI 323,,,,,,
RELI 324,,,,,,
RELI 325,,,,,,
RELI 332,,,,,,
RELI 338,,,,,,
RELI 340,,,,,,
RELI 342,,,,,,
RELI 343,,,,,,
RELI 345,,,,,,
RELI 350,,,,,,
RELI 352,,,,,,
RELI 362,,,,,,
RELI 365,,,,,,
RELI 366,,,,,,
RELI 367,,,,,,
RELI 368,,,,,,
RELI 371,,,,,,
RELI 375,,,,,,
RELI 381,,,,,,
RELI 382,,,,,,
RELI 383,,,,,,
RELI 384,,,,,,
RELI 385,,,,,,
RELI 386,,,,,,
RELI 387,,,,,,
RELI 390,,,,,,
RELI 395,,,,,,
RELI 401,,,,,,
RELI 402,RELI 401,,,,,
RELI 403,RELI 402,,,,,
RELI 404,RELI 403,,,,,
RELI 409,GREK 222,,,,,
RELI 410,RELI 403,RELI 404,,,,
RELI 411,RELI 403,RELI 404,,,,
RELI 412,RELI 403,RELI 404,,,,
RELI 413,,,,,,
RELI 414,,,,,,
RELI 420,,,,,,
RELI 421,,,,,,
RELI 423,,,,,,
RELI 424,,,,,,
RELI 425,,,,,,
RELI 426,,,,,,
RELI 427,,,,,,
RELI 428,,,,,,
RELI 429,,,,,,
RELI 430,,,,,,
RELI 438,,,,,,
RELI 441,,,,,,
RELI 442,,,,,,
RELI 443,,,,,,
RELI 444,,,,,,
RELI 445,,,,,,
RELI 446,,,,,,
RELI 448,,,,,,
RELI 450,,,,,,
RELI 452,,,,,,
RELI 454,,,,,,
RELI 465,,,,,,
RELI 474,,,,,,
RELI 480,,,,,,
RELI 481,,,,,,
RELI 482,,,,,,
RELI 485,,,,,,
RELI 486,,,,,,
RELI 487,,,,,,
RELI 488,,,,,,
RELI 489,,,,,,
RELI 501,,,,,,
RELI 502,,,,,,
RELI 503,,,,,,
RELI 504,,,,,,
